cyanorak_og,og_gene_name,og_product,n_HL,n_LL,class,rationale
cyanorak:CK_00000861,phnE,"phosphate/phosphonate ABC type transporter, permease component",4,5,acquisition,matched acquisition (phnE)
cyanorak:CK_00008048,phnC,"phosphonate ABC type transporter, ATPase component",4,5,acquisition,matched acquisition (phnC)
cyanorak:CK_00000860,phnD,"phosphonate ABC type transporter, substrate binding component",4,5,acquisition,matched acquisition (phnD)
cyanorak:CK_00043821,pstS,"phosphate ABC transporter, phosphate-binding protein PstS",4,5,acquisition,matched acquisition (pstS)
cyanorak:CK_00000818,pstC,ABC-type phosphate transport system permease component,4,5,acquisition,matched acquisition (pstC)
cyanorak:CK_00000165,pstA,ABC-type phosphate transport system permease component,4,5,acquisition,matched acquisition (pstA)
cyanorak:CK_00000817,pstB,ABC-type phosphate transport system ATPase component,4,5,acquisition,matched acquisition (pstB)
cyanorak:CK_00000999,PMN2A_RS06570,possible phosphatidic acid phosphatase,4,5,acquisition,matched acquisition (PMN2A_RS06570)
cyanorak:CK_00000721,phoH,phosphate starvation-inducible protein,4,5,acquisition,matched acquisition (phoH)
cyanorak:CK_00000123,sqdB,UDP-sulfoquinovose synthase,4,5,acquisition,matched acquisition (sqdB)
cyanorak:CK_00001531,phoR,"two-component system sensor histidine kinase, phosphate sensing PhoR",3,4,acquisition,matched acquisition (phoR)
cyanorak:CK_00008015,phoB,two-component system response regulator RR class II (RRII)-CheY-OmpR,3,3,acquisition,matched acquisition (phoB)
cyanorak:CK_00001606,ptrA,"transcriptional phosphate regulator, Crp family",0,4,acquisition,matched acquisition (ptrA)
cyanorak:CK_00008062,phnC2,"phosphonate ABC transporter, ATP-binding protein",1,1,acquisition,matched acquisition (phnC2)
cyanorak:CK_00006203,phnD2,"phosphonate ABC transporter, periplasmic component",1,1,acquisition,matched acquisition (phnD2)
cyanorak:CK_00048116,phnE2,"phosphonate ABC transporter, permease protein PhnE",1,1,acquisition,matched acquisition (phnE2)
cyanorak:CK_00056808,ptxD,phosphonate dehydrogenase,1,1,acquisition,matched acquisition (ptxD)
cyanorak:CK_00001999,phoC,acid phosphatase,0,2,acquisition,matched acquisition (phoC)
cyanorak:CK_00048151,ppk2,polyphosphate kinase 2,0,2,acquisition,matched acquisition (ppk2)
cyanorak:CK_00001482,,phosphate-starvation-induced PsiE-like protein,0,2,acquisition,matched acquisition (phosphate-starvation-induced psie-like p)
cyanorak:CK_00045468,,PAP2 superfamily protein,0,2,acquisition,matched acquisition (pap2 superfamily protein)
cyanorak:CK_00002662,PsiP1,phosphate starvation inducible protein 1,1,0,acquisition,matched acquisition (PsiP1)
cyanorak:CK_00056879,,putative phosphatase,1,0,acquisition,matched acquisition (putative phosphatase)
cyanorak:CK_00000429,rplL,50S ribosomal protein L7/L12,4,5,responsive_other,known non-acquisition (rplL)
cyanorak:CK_00000428,rplJ,50S ribosomal protein L10,4,5,responsive_other,known non-acquisition (rplJ)
cyanorak:CK_00000865,prfC,peptide chain release factor 3,4,5,responsive_other,known non-acquisition (prfC)
cyanorak:CK_00000875,gnd,6-phosphogluconate dehydrogenase,4,5,responsive_other,known non-acquisition (gnd)
cyanorak:CK_00000874,pgl,6-phosphogluconolactonase,4,5,responsive_other,known non-acquisition (pgl)
cyanorak:CK_00000167,ahpC,2-Cys peroxiredoxin,4,5,responsive_other,known non-acquisition (ahpC)
cyanorak:CK_00000520,rplR,50S ribosomal protein L18,4,5,responsive_other,known non-acquisition (rplR)
cyanorak:CK_00000282,galM,aldose 1-epimerase family protein,4,5,responsive_other,known non-acquisition (galM)
cyanorak:CK_00000118,glgP,glycogen phosphorylase,4,5,responsive_other,known non-acquisition (glgP)
cyanorak:CK_00000029,dnaK3,chaperone protein DnaK,4,5,responsive_other,known non-acquisition (dnaK3)
cyanorak:CK_00008093,gap3,glyceraldehyde-3-phosphate dehydrogenase,3,5,responsive_other,known non-acquisition (gap3)
cyanorak:CK_00000368,spsA,sucrose phosphate synthase and phosphatase fusion protein,0,4,responsive_other,known non-acquisition (spsA)
cyanorak:CK_00056795,fabG-2,short chain dehydrogenase family protein,2,1,responsive_other,known non-acquisition (fabG-2)
cyanorak:CK_00047685,hlyD,hlyD secretion family protein,1,2,responsive_other,known non-acquisition (hlyD)
cyanorak:CK_00001443,mutT,NUDIX hydrolase superfamily,0,2,responsive_other,known non-acquisition (mutT)
cyanorak:CK_00035906,rlpA,rare lipoA family protein,0,2,responsive_other,known non-acquisition (rlpA)
cyanorak:CK_00000794,PMN2A_RS05395,uncharacterized conserved membrane protein,4,5,unclear,hypothetical/ambiguous (PMN2A_RS05395)
cyanorak:CK_00002330,som,outer membrane porin,4,5,unclear,hypothetical/ambiguous (som)
cyanorak:CK_00000562,PMN2A_RS09080,conserved hypothetical protein,4,5,unclear,hypothetical/ambiguous (PMN2A_RS09080)
cyanorak:CK_00000097,PMN2A_RS00455,conserved hypothetical protein (DUF3303),4,4,unclear,hypothetical/ambiguous (PMN2A_RS00455)
cyanorak:CK_00002826,chrA,chromate transporter,3,2,unclear,hypothetical/ambiguous (chrA)
cyanorak:CK_00045159,,uncharacterized conserved membrane protein,0,2,unclear,hypothetical/ambiguous (uncharacterized conserved membrane prote)
cyanorak:CK_00001564,,pentapeptide repeats family protein,0,2,unclear,hypothetical/ambiguous (pentapeptide repeats family protein)
cyanorak:CK_00002022,,PIN and PhoH domains-containing protein involved in restraining the phage infection process,1,0,unclear,hypothetical/ambiguous (pin and phoh domains-containing protein )
cyanorak:CK_00056782,,conserved hypothetical protein,0,1,unclear,hypothetical/ambiguous (conserved hypothetical protein)
