og_id,consensus_product,total_member_count,total_organism_count,proc_strains,proc_members,proc_hypo_members,frac_hypo
cyanorak:CK_00001470,conserved hypothetical protein,21,21,17,17,4,0.23529411764705882
cyanorak:CK_00000986,uncharacterized conserved secreted protein,21,21,17,17,1,0.058823529411764705
cyanorak:CK_00048243,uncharacterized conserved membrane protein,21,21,17,17,0,0.0
cyanorak:CK_00054383,"viral RNA helicase, superfamily I",21,21,17,17,0,0.0
cyanorak:CK_00001711,uncharacterized conserved membrane protein,21,21,17,17,0,0.0
cyanorak:CK_00001729,uncharacterized conserved membrane protein,21,21,17,17,0,0.0
cyanorak:CK_00001196,beta-carotene hydroxylase,21,21,17,17,0,0.0
cyanorak:CK_00000093,threonine synthase,21,21,17,17,0,0.0
cyanorak:CK_00000365,alpha/beta hydrolase of unknown function (DUF1400),21,21,17,17,0,0.0
cyanorak:CK_00000020,ABC1 family protein,21,21,17,17,0,0.0
cyanorak:CK_00000366,ATP-dependent DNA repair protein RecN,21,21,17,17,0,0.0
cyanorak:CK_00000367,"excinuclease UvrABC complex, ATPase subunit",21,21,17,17,0,0.0
cyanorak:CK_00000371,phospho-N-acetylmuramoyl-pentapeptide-transferase,21,21,17,17,0,0.0
cyanorak:CK_00000373,argininosuccinate synthase,21,21,17,17,0,0.0
cyanorak:CK_00000374,30S ribosomal protein S6,21,21,17,17,0,0.0
cyanorak:CK_00000376,shikimate 5-dehydrogenase,21,21,17,17,0,0.0
cyanorak:CK_00000029,chaperone protein DnaK,21,21,17,17,0,0.0
cyanorak:CK_00000377,possible D-amino-acid dehydrogenase,21,21,17,17,0,0.0
cyanorak:CK_00000380,aconitate hydratase 2 / 2-methylisocitrate dehydratase,21,21,17,17,0,0.0
cyanorak:CK_00000381,3-deoxy-7-phosphoheptulonate synthase,21,21,17,17,0,0.0
cyanorak:CK_00000382,phytol kinase,21,21,17,17,0,0.0
cyanorak:CK_00009056,"RNA polymerase sigma factor, type II",21,21,17,17,0,0.0
cyanorak:CK_00000383,polyphosphate kinase,21,21,17,17,0,0.0
cyanorak:CK_00000124,"multidrug efflux transporter, MFS family",21,21,17,17,0,0.0
cyanorak:CK_00000384,uroporphyrinogen-III C-methyltransferase,21,21,17,17,0,0.0
cyanorak:CK_00000385,4-amino-4-deoxychorismate lyase,21,21,17,17,0,0.0
cyanorak:CK_00000386,para-aminobenzoate synthetase component I,21,21,17,17,0,0.0
cyanorak:CK_00000387,7-cyano-7-deazaguanine synthase,21,21,17,17,0,0.0
cyanorak:CK_00000388,7-carboxy-7-deazaguanine synthase,21,21,17,17,0,0.0
cyanorak:CK_00000389,CTP synthase,21,21,17,17,0,0.0
cyanorak:CK_00000390,aspartyl-tRNA synthetase,21,21,17,17,0,0.0
cyanorak:CK_00000391,glycine cleavage system T protein,21,21,17,17,0,0.0
cyanorak:CK_00000392,agmatinase,21,21,17,17,0,0.0
cyanorak:CK_00000393,spermidine synthase,21,21,17,17,0,0.0
cyanorak:CK_00000395,nucleoside triphosphate pyrophosphohydrolase,21,21,17,17,0,0.0
cyanorak:CK_00000401,valyl-tRNA synthetase,21,21,17,17,0,0.0
cyanorak:CK_00000402,DedA family protein,21,21,17,17,0,0.0
cyanorak:CK_00000403,conserved hypothetical protein,21,21,17,17,0,0.0
cyanorak:CK_00000404,"SprT-like, zinc ribbon domain-containing protein",21,21,17,17,0,0.0
cyanorak:CK_00000405,chorismate pyruvate-lyase,21,21,17,17,0,0.0
cyanorak:CK_00000406,tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA,21,21,17,17,0,0.0
cyanorak:CK_00000125,replicative DNA helicase,22,21,17,18,0,0.0
cyanorak:CK_00000407,50S ribosomal protein L9,21,21,17,17,0,0.0
cyanorak:CK_00008117,delta-9 fatty-acid desaturase DesC4,20,20,17,17,0,0.0
cyanorak:CK_00000408,cystathionine beta-lyase family aluminum resistance protein,21,21,17,17,0,0.0
cyanorak:CK_00000409,glycine cleavage system H protein,21,21,17,17,0,0.0
cyanorak:CK_00000410,glycine dehydrogenase,21,21,17,17,0,0.0
cyanorak:CK_00001186,conserved hypothetical protein,21,21,17,17,0,0.0
cyanorak:CK_00000333,sulfoquinovosyldiacylglycerol synthase,21,21,17,17,0,0.0
cyanorak:CK_00000123,UDP-sulfoquinovose synthase,21,21,17,17,0,0.0
cyanorak:CK_00000332,thiazole synthase,21,21,17,17,0,0.0
