experiment_id,organism_name,treatment_type,background_factors,omics_type,compartment,table_scope,table_scope_detail,is_time_course,coculture_partner,gene_count,distinct_gene_count,genes_by_status_significant_up,genes_by_status_significant_down,growth_phases,publication_doi,publication_title,experiment_name,treatment,control
10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,Prochlorococcus MED4,coculture,light,RNASEQ,whole_cell,all_detected_genes,,False,Alteromonas macleodii HOT1A3,1849,1849,59,3,exponential,10.1101/2025.11.24.690089,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,MED4 Coculture with Alteromonas HOT1A3 vs Axenic (RNASEQ),Coculture with Alteromonas HOT1A3,Axenic
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,Prochlorococcus MED4,nitrogen,coculture | light,PROTEOMICS,whole_cell,all_detected_genes,,True,,7120,1424,609,394,nutrient_limited,10.1101/2025.11.24.690089,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,PRO99-lowN exponential growth
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,Prochlorococcus MED4,nitrogen,axenic | light,PROTEOMICS,whole_cell,all_detected_genes,,True,,4272,1424,599,556,death | nutrient_limited,10.1101/2025.11.24.690089,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (PROTEOMICS),PRO99-lowN nutrient starvation,PRO99-lowN exponential growth
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,Prochlorococcus MED4,nitrogen,coculture | light,RNASEQ,whole_cell,all_detected_genes,,True,,9245,1849,553,834,nutrient_limited,10.1101/2025.11.24.690089,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,PRO99-lowN exponential growth
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,Prochlorococcus MED4,nitrogen,axenic | light,RNASEQ,whole_cell,all_detected_genes,,False,,1849,1849,405,472,nutrient_limited,10.1101/2025.11.24.690089,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,MED4 PRO99-lowN nutrient starvation vs PRO99-lowN exponential growth (RNASEQ),PRO99-lowN nutrient starvation,PRO99-lowN exponential growth
10.1101/2025.08.05.668435_growth_state_freeliving_planktonic_enrichment_mit9301_rnaseq,Prochlorococcus MIT9301,growth_phase,axenic | light,RNASEQ,whole_cell,significant_only,"FDR < 0.05 and ,logFC, > 0.8",False,,234,234,137,97,exponential,10.1101/2025.08.05.668435,Biofilm formation and dynamics in the marine cyanobacterium Prochlorococcus,MIT9301 Free-living (planktonic) enrichment vs Biofilm (adherent) enrichment (RNASEQ),Free-living (planktonic) enrichment,Biofilm (adherent) enrichment
10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_natl2a_rnaseq,Prochlorococcus NATL2A,darkness,coculture | diel,RNASEQ,whole_cell,significant_any_timepoint,,True,,14105,2015,3875,4233,diel,10.1093/ismeco/ycae131,Emergence of metabolic coupling to the heterotroph Alteromonas promotes dark survival in Prochlorococcus,NATL2A Dark-tolerant co-culture under 13:11 diel light:dark cycle vs Parental co-culture under 13:11 diel light:dark cycle (RNASEQ),Dark-tolerant co-culture under 13:11 diel light:dark cycle,Parental co-culture under 13:11 diel light:dark cycle
10.1128/spectrum.03275-22_dark_low_glucose_med4_proteomics,Prochlorococcus MED4,carbon,coculture | darkness,PROTEOMICS,whole_cell,all_detected_genes,,False,,327,327,0,0,darkness,10.1128/spectrum.03275-22,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus,MED4 proteomics: darkness +100 nM glucose vs darkness (control),Darkness + 100 nM glucose addition,Darkness (no glucose)
10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,Prochlorococcus MED4,carbon,coculture | darkness,PROTEOMICS,whole_cell,all_detected_genes,,False,,327,327,7,8,darkness,10.1128/spectrum.03275-22,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus,MED4 proteomics: darkness +5 mM glucose vs darkness (control),Darkness + 5 mM glucose addition,Darkness (no glucose)
10.1128/spectrum.03275-22_light_low_glucose_med4_proteomics,Prochlorococcus MED4,carbon,coculture | light,PROTEOMICS,whole_cell,all_detected_genes,,False,,327,327,0,0,stationary,10.1128/spectrum.03275-22,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus,MED4 proteomics: light +100 nM glucose vs light (control),Light + 100 nM glucose addition,Light (no glucose)
