strain,organism_name,experiment_id,publication_doi,omics_type,table_scope,is_time_course,n_timepoints,growth_phases,treatment_type,treatment,coculture_partner,partner_genus,prochlorococcus_coculture,medium,added_organic_c,sig_up,sig_down,neg_l2fc,pos_l2fc,total_l2fc,pct_neg,direction_quality
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_high_glucose_alt_in_med4_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 5 mM glucose addition,Prochlorococcus MED4,Prochlorococcus,1,Pro99,yes,5,0,1,15,16,6.2,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_low_glucose_alt_in_med4_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 100 nM glucose addition,Prochlorococcus MED4,Prochlorococcus,1,Pro99,yes,0,0,10,6,16,62.5,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_high_glucose_alt_in_med4_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 5 mM glucose addition,Prochlorococcus MED4,Prochlorococcus,1,Pro99,yes,5,0,2,13,16,12.5,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_low_glucose_alt_in_ss120_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 100 nM glucose addition,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,1,Pro99,yes,2,0,7,47,54,13.0,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_high_glucose_alt_in_ss120_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 5 mM glucose addition,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,1,Pro99,yes,20,0,5,49,54,9.3,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_low_glucose_alt_in_ss120_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 100 nM glucose addition,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,1,Pro99,yes,0,2,37,16,54,68.5,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_high_glucose_alt_in_ss120_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 5 mM glucose addition,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus,1,Pro99,yes,16,1,8,46,54,14.8,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_low_glucose_alt_in_wh7803_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 100 nM glucose addition,Synechococcus WH7803,Synechococcus,0,SN,yes,0,0,0,4,4,0.0,sparse
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_high_glucose_alt_in_wh7803_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 5 mM glucose addition,Synechococcus WH7803,Synechococcus,0,SN,yes,0,0,0,4,4,0.0,sparse
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_low_glucose_alt_in_wh7803_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 100 nM glucose addition,Synechococcus WH7803,Synechococcus,0,SN,yes,0,0,4,0,4,100.0,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_high_glucose_alt_in_wh7803_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 5 mM glucose addition,Synechococcus WH7803,Synechococcus,0,SN,yes,0,0,1,3,4,25.0,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_low_glucose_alt_in_wh8102_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 100 nM glucose addition,Synechococcus WH8102,Synechococcus,0,SN,yes,1,2,12,66,78,15.4,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_high_glucose_alt_in_wh8102_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 5 mM glucose addition,Synechococcus WH8102,Synechococcus,0,SN,yes,26,0,10,68,78,12.8,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_low_glucose_alt_in_wh8102_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 100 nM glucose addition,Synechococcus WH8102,Synechococcus,0,SN,yes,2,0,20,58,78,25.6,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_high_glucose_alt_in_wh8102_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 5 mM glucose addition,Synechococcus WH8102,Synechococcus,0,SN,yes,27,0,10,68,78,12.8,ok_all_genes
AD45,Alteromonas macleodii AD45,10.1093/femsml/uqac025_vesicle_proteomics_ad45,10.1093/femsml/uqac025,VESICLE_PROTEOMICS,top_n,False,0,,compartment,Vesicle fraction (extracellular),,,0,"AMP1 artificial seawater amended with 0.05% w/v lactate, pyruvate, acetate, glycerol and a vitamin mix",yes,0,0,0,0,0,,no_de_edges
ATCC27126,Alteromonas macleodii ATCC27126,10.1093/femsml/uqac025_vesicle_proteomics_atcc27126,10.1093/femsml/uqac025,VESICLE_PROTEOMICS,top_n,False,0,,compartment,Vesicle fraction (extracellular),,,0,"AMP1 artificial seawater amended with 0.05% w/v lactate, pyruvate, acetate, glycerol and a vitamin mix",yes,0,0,0,0,0,,no_de_edges
BGP6,Alteromonas macleodii BGP6,10.1093/femsml/uqac025_vesicle_proteomics_bgp6,10.1093/femsml/uqac025,VESICLE_PROTEOMICS,top_n,False,0,,compartment,Vesicle fraction (extracellular),,,0,"AMP1 artificial seawater amended with 0.05% w/v lactate, pyruvate, acetate, glycerol and a vitamin mix",yes,0,0,0,0,0,,no_de_edges
BS11,Alteromonas macleodii BS11,10.1093/femsml/uqac025_vesicle_proteomics_bs11,10.1093/femsml/uqac025,VESICLE_PROTEOMICS,top_n,False,0,,compartment,Vesicle fraction (extracellular),,,0,"AMP1 artificial seawater amended with 0.05% w/v lactate, pyruvate, acetate, glycerol and a vitamin mix",yes,0,0,0,0,0,,no_de_edges
HOT1A3,Alteromonas macleodii HOT1A3,10.1093/femsml/uqac025_vesicle_proteomics_hot1a3,10.1093/femsml/uqac025,VESICLE_PROTEOMICS,top_n,False,0,,compartment,Vesicle fraction (extracellular),,,0,"AMP1 artificial seawater amended with 0.05% w/v lactate, pyruvate, acetate, glycerol and a vitamin mix",yes,0,0,0,0,0,,no_de_edges
MIT1002,Alteromonas macleodii MIT1002,10.1093/femsml/uqac025_vesicle_proteomics_mit1002,10.1093/femsml/uqac025,VESICLE_PROTEOMICS,top_n,False,0,,compartment,Vesicle fraction (extracellular),,,0,"AMP1 artificial seawater amended with 0.05% w/v lactate, pyruvate, acetate, glycerol and a vitamin mix",yes,0,0,0,0,0,,no_de_edges
EZ55,Alteromonas macleodii EZ55,10.1038/s43705-022-00197-2_coculture_prochlorococcus_mit9312_at_400_ez55_rnaseq,10.1038/s43705-022-00197-2,RNASEQ,significant_only,False,0,exponential,coculture,Coculture with Prochlorococcus MIT9312 at 400 ppm pCO2,Prochlorococcus MIT9312,Prochlorococcus,1,Pro99 medium,no,308,111,111,308,419,26.5,ok_significant_only
EZ55,Alteromonas macleodii EZ55,10.1038/s43705-022-00197-2_coculture_prochlorococcus_mit9312_at_800_ez55_rnaseq,10.1038/s43705-022-00197-2,RNASEQ,significant_only,False,0,exponential,coculture,Coculture with Prochlorococcus MIT9312 at 800 ppm pCO2,Prochlorococcus MIT9312,Prochlorococcus,1,Pro99 medium,no,104,84,84,104,188,44.7,ok_significant_only
EZ55,Alteromonas macleodii EZ55,10.1038/s43705-022-00197-2_coculture_synechococcus_cc9311_at_400_ez55_rnaseq,10.1038/s43705-022-00197-2,RNASEQ,significant_only,False,0,exponential,coculture,Coculture with Synechococcus CC9311 at 400 ppm pCO2,Synechococcus CC9311,Synechococcus,0,Pro99 medium,no,117,176,176,117,293,60.1,ok_significant_only
EZ55,Alteromonas macleodii EZ55,10.1038/s43705-022-00197-2_coculture_synechococcus_cc9311_at_800_ez55_rnaseq,10.1038/s43705-022-00197-2,RNASEQ,significant_only,False,0,exponential,coculture,Coculture with Synechococcus CC9311 at 800 ppm pCO2,Synechococcus CC9311,Synechococcus,0,Pro99 medium,no,31,52,52,31,83,62.7,ok_significant_only
EZ55,Alteromonas macleodii EZ55,10.1038/s43705-022-00197-2_coculture_synechococcus_wh8102_at_400_ez55_rnaseq,10.1038/s43705-022-00197-2,RNASEQ,significant_only,False,0,exponential,coculture,Coculture with Synechococcus WH8102 at 400 ppm pCO2,Synechococcus WH8102,Synechococcus,0,Pro99 medium,no,26,110,110,26,136,80.9,ok_significant_only
EZ55,Alteromonas macleodii EZ55,10.1038/s43705-022-00197-2_coculture_synechococcus_wh8102_at_800_ez55_rnaseq,10.1038/s43705-022-00197-2,RNASEQ,significant_only,False,0,exponential,coculture,Coculture with Synechococcus WH8102 at 800 ppm pCO2,Synechococcus WH8102,Synechococcus,0,Pro99 medium,no,27,31,31,27,58,53.4,ok_significant_only
EZ55,Alteromonas macleodii EZ55,10.1038/s43705-022-00197-2_carbon_stress_elevated_pco2_800_ppm_ez55_rnaseq,10.1038/s43705-022-00197-2,RNASEQ,significant_only,False,0,exponential,carbon,Elevated pCO2 (800 ppm),,,0,Pro99 medium,no,14,112,112,14,126,88.9,ok_significant_only
EZ55,Alteromonas macleodii EZ55,10.1038/s43705-022-00197-2_interaction_pco2_coculture_ez55_rnaseq,10.1038/s43705-022-00197-2,RNASEQ,significant_only,False,0,exponential,carbon,pCO2 effect modified by coculture context,,,0,Pro99 medium,no,313,124,124,313,437,28.4,ok_significant_only
EZ55,Alteromonas macleodii EZ55,10.1038/ismej.2017.189_carbon_stress_elevated_co2_800_ppm_ez55_rnaseq_axenic,10.1038/ismej.2017.189,RNASEQ,significant_only,False,0,acclimated_steady_state,carbon,Elevated CO2 (800 ppm),,,0,PEv medium (artificial seawater with Pro99 nutrients at 1/25 concentration),no,10,88,88,10,98,89.8,ok_significant_only
EZ55,Alteromonas macleodii EZ55,10.1038/ismej.2017.189_carbon_stress_elevated_co2_800_ppm_ez55_rnaseq_coculture,10.1038/ismej.2017.189,RNASEQ,significant_only,False,0,acclimated_steady_state,carbon,Elevated CO2 (800 ppm),,,0,PEv medium (artificial seawater with Pro99 nutrients at 1/25 concentration),no,224,194,358,410,768,46.6,ok_significant_only
MIT1002,Alteromonas macleodii MIT1002,10.1128/mSystems.00040-18_darkness_extended_darkness_mit1002_rnaseq,10.1128/mSystems.00040-18,RNASEQ,significant_only,True,2,darkness,darkness,Extended darkness,,,0,Pro99 natural seawater medium,background,71,279,279,71,350,79.7,ok_significant_only
HOT1A3,Alteromonas macleodii HOT1A3,10.1038/ismej.2016.70_coculture_prochlorococcus_mit9313_high_alteromonas_hot1a3_rnaseq,10.1038/ismej.2016.70,RNASEQ,all_detected_genes,False,0,exponential,coculture,"Coculture with Prochlorococcus MIT9313 (high Alteromonas inoculum, 5x10^6 cells/ml)",Prochlorococcus MIT9313,Prochlorococcus,1,Pro99,no,188,0,0,1879,1879,0.0,sign_lost
HOT1A3,Alteromonas macleodii HOT1A3,10.1038/ismej.2016.70_coculture_prochlorococcus_mit9313_hot1a3_rnaseq,10.1038/ismej.2016.70,RNASEQ,all_detected_genes,False,0,exponential,coculture,Coculture with Prochlorococcus MIT9313,Prochlorococcus MIT9313,Prochlorococcus,1,Pro99,no,30,0,0,2295,2295,0.0,sign_lost
MIT1002,Alteromonas macleodii MIT1002,10.1038/ismej.2016.82_coculture_24_hours_after_coculturing_mit1002_rnaseq,10.1038/ismej.2016.82,RNASEQ,significant_any_timepoint,False,0,exponential,coculture,24 hours after co-culturing with Prochlorococcus NATL2A,Prochlorococcus NATL2A,Prochlorococcus,1,Pro99 natural seawater medium,background,458,0,0,740,740,0.0,sign_lost
MIT1002,Alteromonas macleodii MIT1002,10.1038/ismej.2016.82_coculture_48_hours_after_coculturing_mit1002_rnaseq,10.1038/ismej.2016.82,RNASEQ,significant_any_timepoint,False,0,exponential,coculture,48 hours after co-culturing with Prochlorococcus NATL2A,Prochlorococcus NATL2A,Prochlorococcus,1,Pro99 natural seawater medium,background,455,0,0,740,740,0.0,sign_lost
