strain,organism_name,experiment_id,publication_doi,omics_type,table_scope,is_time_course,n_timepoints,growth_phases,treatment_type,treatment,coculture_partner,partner_genus,prochlorococcus_coculture,medium,added_organic_c,sig_up,sig_down,neg_l2fc,pos_l2fc,total_l2fc,pct_neg,direction_quality
EZ55,Alteromonas macleodii EZ55,10.1101/2025.05.28.656624_ez55_exudate_proteome,10.1101/2025.05.28.656624,EXOPROTEOMICS,all_detected_genes,False,0,,compartment,>50 kDa cell-free supernatant fraction (EV-enriched exudate),,,0,Pro99 with 0.1% glucose,yes,0,0,0,0,0,,no_de_edges
EZ55,Alteromonas macleodii EZ55,10.1101/2025.05.28.656624_ez55_whole_cell_proteome,10.1101/2025.05.28.656624,PROTEOMICS,all_detected_genes,False,0,,compartment,Crude cell lysate (whole-cell proteome),,,0,Pro99 with 0.1% glucose,yes,0,0,0,0,0,,no_de_edges
HOT1A3,Alteromonas macleodii HOT1A3,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,10.1101/2025.11.24.690089,RNASEQ,all_detected_genes,False,0,exponential,coculture,Coculture with Prochlorococcus MED4,Prochlorococcus MED4,Prochlorococcus,1,PRO99-lowN,no,111,163,2136,1809,3947,54.1,ok_all_genes
HOT1A3,Alteromonas macleodii HOT1A3,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture,10.1101/2025.11.24.690089,PROTEOMICS,all_detected_genes,True,5,nutrient_limited,nitrogen,PRO99-lowN nutrient starvation,,,0,PRO99-lowN,no,1379,1003,5810,5315,11125,52.2,ok_all_genes
HOT1A3,Alteromonas macleodii HOT1A3,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,10.1101/2025.11.24.690089,PROTEOMICS,all_detected_genes,True,2,nutrient_limited,nitrogen,PRO99-lowN nutrient starvation,,,0,PRO99-lowN,no,433,578,2355,2095,4450,52.9,ok_all_genes
HOT1A3,Alteromonas macleodii HOT1A3,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,10.1101/2025.11.24.690089,RNASEQ,all_detected_genes,True,5,nutrient_limited,nitrogen,PRO99-lowN nutrient starvation,,,0,PRO99-lowN,no,1675,2449,9721,10011,19735,49.3,ok_all_genes
HOT1A3,Alteromonas macleodii HOT1A3,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic,10.1101/2025.11.24.690089,RNASEQ,all_detected_genes,True,3,nutrient_limited,nitrogen,PRO99-lowN nutrient starvation,,,0,PRO99-lowN,no,778,1648,6079,5760,11841,51.3,ok_all_genes
MIT1002,Alteromonas macleodii MIT1002,10.1093/ismeco/ycae131_darkness_darktolerant_coculture_under_1311_mit1002_rnaseq,10.1093/ismeco/ycae131,RNASEQ,significant_any_timepoint,True,7,diel,darkness,Dark-tolerant co-culture under 13:11 diel light:dark cycle,,,0,Pro99 natural seawater medium,background,298,350,12386,14470,26992,45.9,ok_significant_only
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_low_glucose_alt_in_bl107_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 100 nM glucose addition,Synechococcus sp. BL107,Synechococcus,0,SN,yes,3,0,1,10,11,9.1,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_high_glucose_alt_in_bl107_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 5 mM glucose addition,Synechococcus sp. BL107,Synechococcus,0,SN,yes,5,0,1,10,11,9.1,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_low_glucose_alt_in_bl107_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 100 nM glucose addition,Synechococcus sp. BL107,Synechococcus,0,SN,yes,1,0,2,9,11,18.2,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_light_high_glucose_alt_in_bl107_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,stationary,"carbon,coculture",Light + 5 mM glucose addition,Synechococcus sp. BL107,Synechococcus,0,SN,yes,6,0,1,10,11,9.1,ok_all_genes
MarRef,Alteromonas (MarRef v6),10.1128/spectrum.03275-22_dark_low_glucose_alt_in_med4_proteomics,10.1128/spectrum.03275-22,PROTEOMICS,all_detected_genes,False,0,darkness,"carbon,coculture",Darkness + 100 nM glucose addition,Prochlorococcus MED4,Prochlorococcus,1,Pro99,yes,0,0,11,3,16,68.8,ok_all_genes
