strain,experiment_id,coculture_partner,partner_genus,omics_type,table_scope,treatment,control,publication_doi
HOT1A3,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Prochlorococcus MED4,Prochlorococcus,RNASEQ,all_detected_genes,Coculture with Prochlorococcus MED4,Axenic,10.1101/2025.11.24.690089
HOT1A3,10.1038/ismej.2016.70_coculture_prochlorococcus_mit9313_high_alteromonas_hot1a3_rnaseq,Prochlorococcus MIT9313,Prochlorococcus,RNASEQ,all_detected_genes,"Coculture with Prochlorococcus MIT9313 (high Alteromonas inoculum, 5x10^6 cells/ml)",Pro99 medium growth conditions,10.1038/ismej.2016.70
HOT1A3,10.1038/ismej.2016.70_coculture_prochlorococcus_mit9313_hot1a3_rnaseq,Prochlorococcus MIT9313,Prochlorococcus,RNASEQ,all_detected_genes,Coculture with Prochlorococcus MIT9313,Pro99 medium growth conditions,10.1038/ismej.2016.70
EZ55,10.1038/s43705-022-00197-2_coculture_prochlorococcus_mit9312_at_400_ez55_rnaseq,Prochlorococcus MIT9312,Prochlorococcus,RNASEQ,significant_only,Coculture with Prochlorococcus MIT9312 at 400 ppm pCO2,Axenic at 400 ppm pCO2,10.1038/s43705-022-00197-2
EZ55,10.1038/s43705-022-00197-2_coculture_prochlorococcus_mit9312_at_800_ez55_rnaseq,Prochlorococcus MIT9312,Prochlorococcus,RNASEQ,significant_only,Coculture with Prochlorococcus MIT9312 at 800 ppm pCO2,Axenic at 800 ppm pCO2,10.1038/s43705-022-00197-2
EZ55,10.1038/s43705-022-00197-2_coculture_synechococcus_cc9311_at_400_ez55_rnaseq,Synechococcus CC9311,Synechococcus,RNASEQ,significant_only,Coculture with Synechococcus CC9311 at 400 ppm pCO2,Axenic at 400 ppm pCO2,10.1038/s43705-022-00197-2
EZ55,10.1038/s43705-022-00197-2_coculture_synechococcus_cc9311_at_800_ez55_rnaseq,Synechococcus CC9311,Synechococcus,RNASEQ,significant_only,Coculture with Synechococcus CC9311 at 800 ppm pCO2,Axenic at 800 ppm pCO2,10.1038/s43705-022-00197-2
EZ55,10.1038/s43705-022-00197-2_coculture_synechococcus_wh8102_at_400_ez55_rnaseq,Synechococcus WH8102,Synechococcus,RNASEQ,significant_only,Coculture with Synechococcus WH8102 at 400 ppm pCO2,Axenic at 400 ppm pCO2,10.1038/s43705-022-00197-2
EZ55,10.1038/s43705-022-00197-2_coculture_synechococcus_wh8102_at_800_ez55_rnaseq,Synechococcus WH8102,Synechococcus,RNASEQ,significant_only,Coculture with Synechococcus WH8102 at 800 ppm pCO2,Axenic at 800 ppm pCO2,10.1038/s43705-022-00197-2
