tier,n,mean_breadth,median_breadth,mean_treatments_tested,mean_response_rate,mean_max_abs_log2fc,mean_proc_members,n_shortlist
core,97,4.61,4,5.4,0.85,6.58,16.4,45
broad,148,3.05,3,3.89,0.785,4.11,10.3,40
