stage,count
groups_enumerated,48972
groups_organism_count_le_6,31630
groups_roster_subset_of_targets,8262
candidate_genes,8249
rejected_ortholog_outside_targets,5543
rejected_not_core,2698
rejected_multicopy,2
markers_final,1
