organism_name,keep,rescue,drop,reconsider,candidate_total_genes,candidate_systems,cand_single_gene,cand_multi_subunit,cand_confident,cand_inferred,candfam__APC,candfam__ABC-peptide,candfam__gluconate/organic-acid,candfam__secondary-carrier,candfam__ABC-orphan-SBP,candfam__BCCT,candfam__SSS,candfam__MFS-sugar,candfam__nucleoside/nucleobase,candfam__POT,candfam__TRAP,candfam__glycerol/glp,rescued_genes,rescuefam__gluconate/organic-acid,rescuefam__BCCT,rescuefam__SSS,rescuefam__nucleoside/nucleobase,rescuefam__MFS-sugar,rescuefam__APC,rescuefam__POT,rescuefam__TRAP,rescuefam__glycerol/glp,drop__exporter/efflux,"drop__ambiguous, non-carrier / unresolved (not",drop__inorganic (control set; see control_conf,drop__metabolic-enzyme (not a transporter),drop__non-metabolite-uptake machinery,drop__transcriptional-regulator (SBP-fold mis-,"drop__SBP_bac_3 sensory (two-component, not up",inorg_control_confident,inorg_control_inferred
Alteromonas macleodii HOT1A3,33,29,599,33,62,54,51,11,40,22,10,9,9,8,7,4,4,4,4,1,1,1,29,9,4,4,4,3,2,1,1,1,154,151,102,75,61,53,3,87,15
Alteromonas macleodii EZ55,35,30,609,34,65,57,54,11,40,25,10,9,10,9,7,4,4,5,4,1,1,1,30,10,4,4,4,3,2,1,1,1,151,154,106,76,61,58,3,91,15
