organism_name,locus_tag,gene_name,product,function_description,kegg_ko_id,kegg_ko_name,tcdb_family,brite_leaf,sources,gene_category,in_brite,in_kegg,in_tcdb,in_annotation
Alteromonas macleodii HOT1A3,ACZ81_00930,yegD,Hsp70 family protein,MreB/Mbl protein,K04046,yegD; hypothetical chaperone protein,The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family,,tcdb,Post-translational modification,False,False,True,False
Alteromonas macleodii HOT1A3,ACZ81_00940,uvrA,excinuclease ABC subunit UvrA,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate",K03701,uvrA; excinuclease ABC subunit A,,,kegg|annotation,Replication and repair,False,True,False,True
Alteromonas macleodii HOT1A3,ACZ81_00945,yajR,MFS transporter,COG0477 Permeases of the major facilitator superfamily,,,,,annotation,Amino acid metabolism,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_00985,sglT,sodium/sugar symporter,Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307,"TC.SSS; solute:Na+ symporter, SSS family",The Solute:Sodium Symporter (SSS) Family,,kegg|tcdb|annotation,Unknown,False,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_01010,,SLC5 family protein,Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307,"TC.SSS; solute:Na+ symporter, SSS family",The Solute:Sodium Symporter (SSS) Family,,kegg|tcdb|annotation,Unknown,False,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_01015,,TonB-dependent receptor,TonB-dependent Receptor Plug Domain,,,,,annotation,Inorganic ion transport,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_01065,mshL,pilus (MSHA type) biogenesis protein MshL,pilus (MSHA type) biogenesis protein MshL,K12282,mshL; MSHA biogenesis protein MshL,,,annotation,Cell motility,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_01085,mshG,type II secretion system F family protein,"Type II secretory pathway, component PulF",K02505 ; K12278,hofC; protein transport protein HofC ; mshG; MSHA biogenesis protein MshG,,,kegg,Cell motility,False,True,False,False
Alteromonas macleodii HOT1A3,ACZ81_01130,mreB,rod shape-determining protein,"Forms membrane-associated dynamic filaments that are essential for cell shape determination. Acts by regulating cell wall synthesis and cell elongation, and thus cell shape. A feedback loop between cell geometry and MreB localization may maintain elongated cell shape by targeting cell wall growth to regions of negative cell wall curvature",K03569,mreB; rod shape-determining protein MreB and related proteins,1.A.33.1 ; 9.B.157.1,,tcdb,Cell cycle and division,False,False,True,False
Alteromonas macleodii HOT1A3,ACZ81_01135,mreC,rod shape-determining protein MreC,Involved in formation and maintenance of cell shape,K03570,mreC; rod shape-determining protein MreC,9.B.157.1,,tcdb,Cell wall and membrane,False,False,True,False
Alteromonas macleodii HOT1A3,ACZ81_01140,mreD,rod shape-determining protein MreD,Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins,K03571,mreD; rod shape-determining protein MreD,9.B.157.1,,tcdb,Cell wall and membrane,False,False,True,False
Alteromonas macleodii HOT1A3,ACZ81_01375,czcA,efflux RND transporter permease subunit,AcrB/AcrD/AcrF family,K15726,"czcA, cusA, cnrA; heavy metal efflux system protein",2.A.6.1.2,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_01380,czcB,efflux RND transporter periplasmic adaptor subunit,COG0845 Membrane-fusion protein,K15727,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",8.A.1.2.1,Accessory factors involved in transport [TC:8],brite|kegg|tcdb|annotation,Cell wall and membrane,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_01385,czcC,TolC family protein,Outer membrane efflux protein,K15725,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",1.B.17.2.2,Pores ion channels [TC:1],brite|kegg|tcdb|annotation,Cell wall and membrane,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_01515,,TonB-dependent receptor,"COG1629 Outer membrane receptor proteins, mostly Fe transport",,,,,annotation,Inorganic ion transport,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_01525,,MFS transporter,Major Facilitator Superfamily,,,,,annotation,Carbohydrate metabolism,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_01540,,DMT family transporter,Transporter,,,,,annotation,Amino acid metabolism,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_01580,,nucleoside permease,LacY proton/sugar symporter,K05820,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter",2.A.1.27,Phenylproprionate permease (PPP) family [TC:2.A.1.27],brite|kegg|tcdb|annotation,Amino acid metabolism,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_01730,nhaP,cation:proton antiporter,Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family,K03316,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",The Monovalent Cation:Proton Antiporter-1 (CPA1) Family,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_01830,amtB,ammonium transporter,Ammonium transporter,K03320,"amt, AMT, MEP; ammonium transporter, Amt family",The Ammonium Transporter Channel (Amt) Family,Pores ion channels [TC:1],brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_01865,,efflux RND transporter periplasmic adaptor subunit,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,K21136,"triA; membrane fusion protein, multidrug efflux system",2.A.6.2.27 ; The Membrane Fusion Protein (MFP) Family,Accessory factors involved in transport [TC:8],brite|kegg|tcdb|annotation,Cell wall and membrane,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_01870,,efflux RND transporter permease subunit,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,,,,,annotation,Defense mechanisms,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_01975,pilQ,type IV pilus secretin PilQ,"COG4796 Type II secretory pathway, component HofQ",K02507 ; K02666,hofQ; protein transport protein HofQ ; pilQ; type IV pilus assembly protein PilQ,3.A.15.2,,kegg|tcdb|annotation,Intracellular trafficking,False,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02120,pvdR,efflux RND transporter periplasmic adaptor subunit,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,K02005 ; K13888,"ABC.CD.TX; HlyD family secretion protein ; macA; membrane fusion protein, macrolide-specific efflux system",The Membrane Fusion Protein (MFP) Family,Accessory factors involved in transport [TC:8],brite|kegg|tcdb|annotation,Cell wall and membrane,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02125,macB,MacB family efflux pump subunit,"Part of the tripartite efflux system MacAB-TolC. MacB is a non-canonical ABC transporter that contains transmembrane domains (TMD), which form a pore in the inner membrane, and an ATP-binding domain (NBD), which is responsible for energy generation. Confers resistance against macrolides",K02003 ; K05685,ABC.CD.A; putative ABC transport system ATP-binding protein ; macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-],The ATP-binding Cassette (ABC) Superfamily ; 3.A.1.122.1 ; 3.A.1.122.12,Macrolide exporter ; Putative ABC transporter,brite|kegg|tcdb|annotation,Defense mechanisms,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02130,,TolC family protein,Outer membrane efflux protein,,,,,annotation,Cell wall and membrane,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_02150,secB,protein-export chaperone SecB,"One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA",K03071,secB; preprotein translocase subunit SecB,The General Secretory Pathway (Sec) Family,,kegg|tcdb|annotation,Intracellular trafficking,False,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02185,,DMT family transporter,COG0697 Permeases of the drug metabolite transporter (DMT) superfamily,,,,,annotation,Amino acid metabolism,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_02215,,TonB-dependent receptor domain-containing protein,TonB dependent receptor,,,,,annotation,Cell wall and membrane,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_02250,tatA,Sec-independent protein translocase subunit TatA,Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system,K03116 ; K03425,tatA; sec-independent protein translocase protein TatA ; tatE; sec-independent protein translocase protein TatE,The Twin Arginine Targeting (Tat) Family,,kegg|tcdb|annotation,Intracellular trafficking,False,True,True,True
