organism_name,total_rows,candidate_genes,candidate_systems,cand_single,cand_multi,cand_confident,cand_inferred,class__other,class__exporter,class__machinery,class__enzyme,class__carrier-family,class__transport-role,class__regulator,class__secondary-carrier-unresolved,class__sensory,candfam__APC,candfam__ABC-subunit,candfam__secondary-carrier-organic,candfam__gluconate/organic-acid,candfam__BCCT,candfam__SSS,candfam__NCS-nucleobase,candfam__nucleoside-Nup,candfam__SLC13-dicarboxylate,candfam__MFS-sugar,candfam__POT,candfam__phenylpropionate-hcaT,candfam__TRAP,candfam__carbohydrate-porin,candfam__glycerol/glp,candfam__fatty-acid,inorg_confident,inorg_inferred
Alteromonas macleodii HOT1A3,694,66,58,55,11,35,31,217,133,88,75,59,59,53,7,3,15,12,8,6,4,4,4,3,2,2,1,1,1,1,1,1,27,6
Alteromonas macleodii EZ55,708,68,60,57,11,35,33,225,129,89,76,63,58,58,7,3,15,12,8,6,4,4,4,3,2,3,1,1,1,1,1,2,28,6
