cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 18|up,up,day 18,cog.category:P,Inorganic ion transport and metabolism,41,131,41/123,5.661577608142493,1.1782903330069108e-22,2.1209225994124395e-21,20.67347518026299
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|up,up,day 60,cog.category:P,Inorganic ion transport and metabolism,55,131,55/321,2.9101567144657676,1.4413930132548876e-15,2.594507423858798e-14,13.585945082287884
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|up,up,days 60+89,cog.category:P,Inorganic ion transport and metabolism,56,131,56/337,2.822388837293587,2.9635416215597316e-15,5.334374918807517e-14,13.272916463815402
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 89|up,up,day 89,cog.category:P,Inorganic ion transport and metabolism,54,131,54/355,2.5835931620255885,6.640416844976192e-13,1.1952750320957145e-11,10.922532152307177
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|down,down,days 60+89,cog.category:N,Cell motility,29,72,29/264,3.394623316498316,3.5227361476549273e-10,6.340925065778869e-09,-8.197847379080983
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 31|up,up,day 31,cog.category:P,Inorganic ion transport and metabolism,37,131,37/243,2.5861527345836084,1.1208161806799187e-08,2.0174691252238537e-07,6.695193102874795
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 89|down,down,day 89,cog.category:N,Cell motility,27,72,27/268,3.1133395522388057,1.3700544108398414e-08,2.4660979395117147e-07,-6.607989679668564
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|down,down,day 60,cog.category:N,Cell motility,24,72,24/265,2.7987421383647795,9.60549119233764e-07,1.7289884146207754e-05,-4.762207916779938
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 89|down,down,day 89,cog.category:T,Signal transduction mechanisms,45,193,45/268,1.9357551620137656,3.1475692633185786e-06,2.832812336986721e-05,-4.547782194879715
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|down,down,days 60+89,cog.category:T,Signal transduction mechanisms,43,193,43/264,1.8777476840948344,1.2686511725895433e-05,0.0001141786055330589,-3.9424152653492683
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|down,down,days 60+89,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport",22,78,22/264,2.3771367521367517,5.337433717665349e-05,0.00032024602305992094,-3.494516254788133
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 31|down,down,day 31,cog.category:T,Signal transduction mechanisms,32,193,32/179,2.0609604307175733,3.058137831685475e-05,0.0005504648097033855,-3.259270439526258
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 31|up,up,day 31,cog.category:I,Lipid transport and metabolism,23,95,23/243,2.2168074507255793,0.00012788912754150688,0.0009755592167144364,3.010746363674106
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 31|up,up,day 31,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",15,50,15/243,2.7469135802469133,0.0001625932027857394,0.0009755592167144364,3.010746363674106
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|down,down,day 60,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport",21,78,21/265,2.2605224963715527,0.00017565232425842517,0.0015808709183258267,-2.801103589743589
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|down,down,day 60,cog.category:C,Energy production and conversion,33,152,33/265,1.8228649453823236,0.0002682737422429238,0.0016096424534575427,-2.7932705821887733
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|up,up,days 60+89,cog.category:I,Lipid transport and metabolism,28,95,28/337,1.9459628299234732,0.00020597309590712556,0.0018537578631641302,2.7319469937941485
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 89|up,up,day 89,cog.category:I,Lipid transport and metabolism,29,95,29/355,1.9132690882134915,0.0002063657377156864,0.0018572916394411778,2.731119896230408
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 31|down,down,day 31,cog.category:N,Cell motility,15,72,15/179,2.58961824953445,0.0004125096562040994,0.0037125869058368946,-2.4303233714030394
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|up,up,days 60+89,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",17,50,17/337,2.244807121661721,0.0006357863239946113,0.0038147179439676675,2.418537567776441
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|down,down,days 60+89,cog.category:C,Energy production and conversion,31,152,31/264,1.718874601275917,0.001213591000288033,0.005461159501296149,-2.2627151390621147
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|down,down,day 60,cog.category:T,Signal transduction mechanisms,37,193,37/265,1.6096392609248216,0.0014813276801132667,0.0066659745605097,-2.17613634807893
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 89|up,up,day 89,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",17,50,17/355,2.130985915492958,0.0011761544168670643,0.007056926501202386,2.1513844057752265
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|up,up,day 60,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",16,50,16/321,2.218068535825545,0.001120649545374043,0.010085845908366389,1.9962876712807316
