cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",14,67,14/536,1.5387057251058143,0.0625210242702974,0.28134460921633836,-0.5507614018536058
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:C,Energy production and conversion,27,223,27/378,1.2642536835361946,0.11607108692617439,0.3678932617597396,0.4342781665243014
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:P,Inorganic ion transport and metabolism,26,215,26/378,1.2627291743570814,0.12263108725324652,0.3678932617597396,0.4342781665243014
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 89|down,down,day 89,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",14,67,14/563,1.4649134434399937,0.08686301685881054,0.39088357586464745,-0.4079525773579979
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:P,Inorganic ion transport and metabolism,23,215,23/334,1.2641832613842083,0.13968729951443395,0.5028742782519622,0.2985405777394296
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:P,Inorganic ion transport and metabolism,25,215,25/346,1.3264551687054713,0.08415680167938738,0.5049408100763243,0.29675952755226426
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|down,down,day 18,cog.category:T,Signal transduction mechanisms,31,290,31/329,1.282433707158579,0.08450437932607986,0.5070262759564792,-0.29496953335461745
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:I,Lipid transport and metabolism,21,133,21/528,1.180322966507177,0.23673901051737226,0.7102170315521168,-0.14860891719293265
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:K,Transcription,40,250,40/528,1.1960606060606063,0.12367767928604285,0.7102170315521168,-0.14860891719293265
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:P,Inorganic ion transport and metabolism,33,215,33/528,1.1473837209302327,0.21781686802110958,0.7102170315521168,-0.14860891719293265
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",12,67,12/528,1.33887381275441,0.17699003436940147,0.7102170315521168,-0.14860891719293265
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport",19,123,19/528,1.1547333086967235,0.2837054897203049,0.7295284021379269,-0.1369577954063615
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:H,Coenzyme transport and metabolism,15,146,15/334,1.2141128701501107,0.25060092705004233,0.751802781150127,0.1238960720301348
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",8,67,8/378,1.2467819631998736,0.3096824583415146,0.7963263214496089,0.09890892904155046
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:M,Cell wall/membrane/envelope biogenesis,37,259,37/528,1.0679112554112553,0.3566815781726977,0.8025335508885698,-0.09553680233594249
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 89|up,up,day 89,cog.category:H,Coenzyme transport and metabolism,13,146,13/290,1.2118800188946621,0.27372860740176713,0.8211858222053015,0.08555855734230805
