locus_tag,gene_name,product,timepoint,log2fc,padj,expression_status,experiment_id
ACZ81_05065,flaA,flagellin N-terminal helical domain-containing protein,day 89,2.87642733256022,0.0004872869190464,significant_up,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
ACZ81_05065,flaA,flagellin N-terminal helical domain-containing protein,days 60+89,2.70829550425212,0.0001338949017878,significant_up,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
ACZ81_05065,flaA,flagellin N-terminal helical domain-containing protein,day 60,2.54016367594401,0.0013477250282362,significant_up,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
ACZ81_16170,,chemotaxis protein CheX,day 89,-2.38020324707031,0.023550214908893,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
ACZ81_13670,chev-2,chemotaxis protein CheV,day 89,-2.21467781066895,8.20525039121693e-06,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
ACZ81_05070,flaA,flagellin N-terminal helical domain-containing protein,day 89,2.20302263895671,0.0008777230172471,significant_up,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
ACZ81_01485,cheR,CheR family methyltransferase,day 31,-2.19844309488932,0.018047130192191,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
ACZ81_16170,,chemotaxis protein CheX,day 31,-2.1982847849528,0.0446954618229348,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
ACZ81_05205,fliM,flagellar motor switch protein FliM,day 89,-2.08837127685547,9.58483109356843e-05,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
ACZ81_05060,flaA,flagellin N-terminal helical domain-containing protein,day 60,2.0794989267985,0.0013477250282362,significant_up,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture
