cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:P,Inorganic ion transport and metabolism,79,131,79/433,3.09883116196252,1.4515639584819272e-26,2.612815125267469e-25,24.582891318522446
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:J,"Translation, ribosomal structure and biogenesis",98,164,98/578,2.300299603342054,1.6733616005440565e-21,3.012050880979302e-20,-19.521137696102844
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:M,Cell wall/membrane/envelope biogenesis,56,177,56/433,1.6257616680366906,3.857834354210341e-05,0.00034720509187893074,3.4594139143748466
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:K,Transcription,45,107,45/578,1.6189405943795878,0.0001508368321395957,0.0013575314892563615,-2.867250087741571
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport",28,78,28/433,1.8446142002723989,0.0004005182364054782,0.002403109418432869,2.6192264544396453
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:N,Cell motility,26,72,26/433,1.8555940467025915,0.0005808776684057198,0.0026139495078257393,2.5827028056936725
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:F,Nucleotide transport and metabolism,30,67,30/578,1.7236481950111036,0.0005574986222985479,0.0033449917337912876,-2.475604951131813
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:O,"Post-translational modification, protein turnover, chaperones",36,96,36/578,1.4435553633217992,0.007364659461671755,0.0331409675775229,-1.479634816150698
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:V,Defense mechanisms,12,31,12/433,1.9891231468375177,0.009756676600824915,0.03512403576296969,1.4543955893237168
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:C,Energy production and conversion,35,152,35/433,1.1832229245168346,0.1484181492648517,0.4452544477945551,0.3513917335312345
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:E,Amino acid transport and metabolism,58,196,58/578,1.1391321234376104,0.13124037033203803,0.4724653331953369,-0.3256300520315519
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:D,"Cell cycle control, cell division, chromosome partitioning",11,32,11/578,1.3232590830449826,0.18529339350074062,0.5558801805022219,-0.2550188101347883
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:H,Coenzyme transport and metabolism,31,106,31/578,1.1257916041000195,0.2477711010369036,0.6371256883806092,-0.19577488417076383
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:G,Carbohydrate transport and metabolism,30,105,30/578,1.0998517053880374,0.3018803227536262,0.6792307261956589,-0.1679826762455592
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:C,Energy production and conversion,42,152,42/578,1.0636723729739574,0.3456520919584311,0.6913041839168622,-0.16033081466898078
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:I,Lipid transport and metabolism,19,95,19/578,0.7698961937716262,0.9334744412489914,0.999999960006973,-1.7368751288541216e-08
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:L,"Replication, recombination and repair",17,86,17/578,0.7609439124487004,0.9319364360074505,0.999999960006973,-1.7368751288541216e-08
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:M,Cell wall/membrane/envelope biogenesis,35,177,35/578,0.7611968017516079,0.9819719974798122,0.999999960006973,-1.7368751288541216e-08
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:N,Cell motility,11,72,11/578,0.5881151480199923,0.9906505866727471,0.999999960006973,-1.7368751288541216e-08
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:P,Inorganic ion transport and metabolism,11,131,11/578,0.3232388599804538,0.999999960006973,0.999999960006973,-1.7368751288541216e-08
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",10,50,10/578,0.7698961937716264,0.8744177668157977,0.999999960006973,-1.7368751288541216e-08
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:T,Signal transduction mechanisms,44,193,44/578,0.8776018789106622,0.8736554908832115,0.999999960006973,-1.7368751288541216e-08
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport",9,78,9/578,0.444170881022092,0.9995833104579186,0.999999960006973,-1.7368751288541216e-08
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,cog.category:V,Defense mechanisms,2,31,2/578,0.248353610894073,0.9989995952097244,0.999999960006973,-1.7368751288541216e-08
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:D,"Cell cycle control, cell division, chromosome partitioning",3,32,3/433,0.48174076212471134,0.9639337066035439,0.9999999951411507,2.110171454455362e-09
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:E,Amino acid transport and metabolism,19,196,19/433,0.49812650233303485,0.9999667212639325,0.9999999951411507,2.110171454455362e-09
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:F,Nucleotide transport and metabolism,5,67,5/433,0.3834752335321085,0.9984660234936902,0.9999999951411507,2.110171454455362e-09
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:G,Carbohydrate transport and metabolism,21,105,21/433,1.0277136258660509,0.4839833411872394,0.9999999951411507,2.110171454455362e-09
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:H,Coenzyme transport and metabolism,13,106,13/433,0.6302017517103142,0.9836988558279431,0.9999999951411507,2.110171454455362e-09
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:I,Lipid transport and metabolism,14,95,14/433,0.7572626716907743,0.9104401701925817,0.9999999951411507,2.110171454455362e-09
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,cog.category:J,"Translation, ribosomal structure and biogenesis",8,164,8/433,0.2506618599673294,0.9999999951411507,0.9999999951411507,2.110171454455362e-09
