omics,timepoint,tp_order,n_genes,median_delta_coc_minus_ax,wilcoxon_p,n_coc_down,n_coc_up,n_ax_down,n_ax_up,wilcoxon_p_bh
rna,day 18,1.0,94,0.43491485743182945,0.0003959133901497085,17,2,45,4,0.0005938700852245628
rna,day 31,2.0,94,-0.09575923840665261,0.7557230073689325,32,4,30,3,0.7557230073689325
rna,days 60+89,3.5,94,0.5545672007106601,1.1692629487269637e-09,40,0,62,3,3.5077888461808914e-09
prot,day 18,1.0,55,-0.2763544718424522,0.0007119550595558455,2,1,0,0,0.001423910119111691
prot,day 31,2.0,55,-0.10144837697347198,0.04895781889465241,11,2,15,15,0.04895781889465241
