clade,mean,size
HLI,13.0,1
HLII,13.0,3
LLI,13.0,2
LLII,11.0,1
LLIV,18.0,2
,set,HL_mean,LL_mean,LL_over_HL
0,all_LL,13.0,14.6,1.123076923076923
1,LL_minus_LLIV,13.0,12.333333333333334,0.9487179487179488
