strain,ecotype,clade,n_ogs,genome_gene_count,per1k
MED4,HL,HLI,13,1976,6.579
AS9601,HL,HLII,10,1951,5.126
MIT9301,HL,HLII,16,1935,8.269
MIT9312,HL,HLII,13,1978,6.572
NATL1A,LL,LLI,13,2226,5.84
NATL2A,LL,LLI,13,2214,5.872
SS120,LL,LLII,11,1964,5.601
MIT9303,LL,LLIV,20,3114,6.423
MIT9313,LL,LLIV,16,2948,5.427
