cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00230,Purine metabolism,9,60,9/111,5.333783783783784,3.536646291068551e-05,0.005128137122049399,2.2900403706668486
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko01210,2-Oxocarboxylic acid metabolism,7,39,7/111,6.382305382305383,8.413738272648973e-05,0.006099960247670505,2.2146729951980193
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00640,Propanoate metabolism,6,32,6/111,6.66722972972973,0.000215583238919032,0.010419856547753214,1.9821382600142339
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko01120,Microbial metabolism in diverse environments,14,214,14/111,2.3262608402795317,0.0023860795407257603,0.08649538335130881,1.063007072171695
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko05132,Salmonella infection,4,11,4/163,8.805354155047407,0.0007369369233668001,0.10685585388818601,-0.9712016808775643
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00330,Arginine and proline metabolism,4,28,4/111,5.0797940797940795,0.0072047102513243,0.13058537330525294,0.8841054650866708
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00500,Starch and sucrose metabolism,4,27,4/111,5.2679346012679344,0.00631001322036551,0.13058537330525294,0.8841054650866708
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00630,Glyoxylate and dicarboxylate metabolism,5,42,5/111,4.233161733161733,0.005963530152463957,0.13058537330525294,0.8841054650866708
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00785,Lipoic acid metabolism,3,13,3/111,8.205821205821206,0.005039805240746915,0.13058537330525294,0.8841054650866708
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko01110,Biosynthesis of secondary metabolites,17,336,17/111,1.7990937365937363,0.01168246238829878,0.18821744958925812,0.7253401157173369
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko04621,NOD-like receptor signaling pathway,3,8,3/163,9.080521472392638,0.0033220805470928305,0.2408508396642302,-0.618251835291394
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00920,Sulfur metabolism,3,20,3/111,5.333783783783784,0.01741399230491484,0.25250288842126517,0.5977336495522819
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko01320,Sulfur cycle,2,9,2/111,7.901901901901902,0.02479969045811586,0.32690501058425453,0.48557842278941965
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00261,Monobactam biosynthesis,2,11,2/111,6.465192465192466,0.03652799287006297,0.40742761278147155,0.3899495406960865
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00450,Selenocompound metabolism,2,11,2/111,6.465192465192466,0.03652799287006297,0.40742761278147155,0.3899495406960865
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00460,Cyanoamino acid metabolism,2,12,2/111,5.926426426426427,0.043042162383829845,0.4457938246896663,0.35086595183105534
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00280,"Valine, leucine and isoleucine degradation",3,32,3/111,3.333614864864865,0.05949522725874604,0.5751205301678785,0.24024112904724126
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",3,34,3/111,3.13751987281399,0.06897161440337811,0.6250552555306141,0.20408158887781006
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko01200,Carbon metabolism,6,107,6/111,1.9939378630967417,0.07917181108857273,0.6752889769319439,0.1705103394204996
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00053,Ascorbate and aldarate metabolism,1,5,1/111,7.1117117117117115,0.13298722469760368,0.9349853337855928,0.029195201433303574
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00680,Methane metabolism,2,23,2/111,3.09204857030944,0.1354116690310169,0.9349853337855928,0.029195201433303574
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko01230,Biosynthesis of amino acids,6,121,6/111,1.7632343086888542,0.12370055743199482,0.9349853337855928,0.029195201433303574
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko01232,Nucleotide metabolism,3,44,3/111,2.4244471744471747,0.12528050113875264,0.9349853337855928,0.029195201433303574
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00020,Citrate cycle (TCA cycle),2,24,2/111,2.9632132132132134,0.14512994038118962,0.9509633263930677,0.021836231172187498
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko00930,Caprolactam degradation,1,6,1/111,5.926426426426427,0.15740082643747327,0.9509633263930677,0.021836231172187498
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|up,up,day 11,kegg.pathway:ko01220,Degradation of aromatic compounds,1,6,1/111,5.926426426426427,0.15740082643747327,0.9509633263930677,0.021836231172187498
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00010,Glycolysis / Gluconeogenesis,4,33,4/163,2.935118051682469,0.04515692057373363,0.9716016894878768,-0.01251173868512009
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00710,Carbon fixation by Calvin cycle,3,19,3/163,3.8233774620600585,0.041199719833234956,0.9716016894878768,-0.01251173868512009
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko02030,Bacterial chemotaxis,5,50,5/163,2.421472392638037,0.05360561045450355,0.9716016894878768,-0.01251173868512009
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko04066,HIF-1 signaling pathway,2,7,2/163,6.918492550394391,0.031045838690654373,0.9716016894878768,-0.01251173868512009
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko04213,Longevity regulating pathway - multiple species,2,8,2/163,6.053680981595091,0.04028709140517489,0.9716016894878768,-0.01251173868512009
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko05418,Fluid shear stress and atherosclerosis,2,9,2/163,5.38104976141786,0.05041684232250953,0.9716016894878768,-0.01251173868512009
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00020,Citrate cycle (TCA cycle),1,24,1/163,1.0089468302658486,0.6376714652082576,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00030,Pentose phosphate pathway,0,20,0/163,0.0,1.0,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00040,Pentose and glucuronate interconversions,0,12,0/163,0.0,1.0,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00051,Fructose and mannose metabolism,0,15,0/163,0.0,1.0,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00052,Galactose metabolism,0,14,0/163,0.0,1.0,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00053,Ascorbate and aldarate metabolism,0,5,0/163,0.0,1.0,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00061,Fatty acid biosynthesis,1,18,1/163,1.345262440354465,0.5327119788567927,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00071,Fatty acid degradation,0,23,0/163,0.0,1.0,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,1,15,1/163,1.614314928425358,0.46940750879570364,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00190,Oxidative phosphorylation,2,39,2/163,1.2417807141733523,0.48355629862596355,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00195,Photosynthesis,0,8,0/163,0.0,1.0,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00220,Arginine biosynthesis,0,18,0/163,0.0,1.0,1.0,0.0
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq|day 11|down,down,day 11,kegg.pathway:ko00230,Purine metabolism,1,60,1/163,0.4035787321063395,0.9219157177818624,1.0,0.0
