substrate_call,timepoint,n_systems,coc_effect,coc_q,coc_called_up,ax_effect,ax_q,ax_called_up,coculture_specific
dipeptide,day 60,1,0.6219,0.9093,False,,,,no_axenic_match
fucose,day 60,1,0.39,0.9216,False,,,,no_axenic_match
fucose/galactose/glucose,day 60,3,0.9698,0.5887,False,,,,no_axenic_match
gluconate,day 60,2,0.4387,0.9216,False,,,,no_axenic_match
glycerol,day 60,1,0.4364,0.9216,False,,,,no_axenic_match
glycine,day 60,2,0.72,0.9216,False,,,,no_axenic_match
maltose/moltooligosaccharide,day 60,1,0.628,0.9093,False,,,,no_axenic_match
nicotinamide mononucleotide,day 60,1,0.4777,0.9216,False,,,,no_axenic_match
nucleoside,day 60,2,0.9691,0.5238,False,,,,no_axenic_match
oligopeptide,day 60,1,0.7633,0.9093,False,,,,no_axenic_match
peptide,day 60,2,0.4567,0.9216,False,,,,no_axenic_match
peptide/nickel,day 60,1,0.9217,0.0643,True,,,,no_axenic_match
phospholipid/cholesterol/gamma-HCH,day 60,1,0.1619,0.9883,False,,,,no_axenic_match
polar amino acid,day 60,6,0.8051,0.9216,False,,,,no_axenic_match
proline,day 60,2,0.6019,0.9216,False,,,,no_axenic_match
putative spermidine/putrescine,day 60,1,0.2413,0.9216,False,,,,no_axenic_match
putative tryptophan/tyrosine,day 60,1,0.3634,0.9216,False,,,,no_axenic_match
serine/threonine,day 60,1,0.6462,0.9093,False,,,,no_axenic_match
sugar,day 60,4,0.6835,0.9216,False,,,,no_axenic_match
vitamin B12,day 60,1,0.6059,0.9093,False,,,,no_axenic_match
xylose,day 60,1,0.7314,0.9093,False,,,,no_axenic_match
3-phenylpropionic acid,day 89,2,0.8652,0.7153,False,,,,no_axenic_match
L-lactate,day 89,1,0.9982,0.066,True,,,,no_axenic_match
adenine/guanine/hypoxanthine,day 89,1,0.5393,0.9008,False,,,,no_axenic_match
amino acid,day 89,3,0.8216,0.9008,False,,,,no_axenic_match
aminobenzoyl-glutamate,day 89,1,0.5438,0.9008,False,,,,no_axenic_match
benzoate,day 89,1,0.9088,0.6052,False,,,,no_axenic_match
betaine/carnitine,day 89,1,0.2603,0.9316,False,,,,no_axenic_match
branched-chain amino acid,day 89,1,0.0831,0.9453,False,,,,no_axenic_match
carbohydrate,day 89,1,0.852,0.6905,False,,,,no_axenic_match
carboxylate,day 89,2,0.3776,0.9453,False,,,,no_axenic_match
choline,day 89,1,0.3637,0.9316,False,,,,no_axenic_match
choline/glycine/proline betaine,day 89,2,0.3041,0.9453,False,,,,no_axenic_match
dipeptide,day 89,1,0.7671,0.6052,False,,,,no_axenic_match
fucose,day 89,1,0.3267,0.9316,False,,,,no_axenic_match
fucose/galactose/glucose,day 89,3,0.9465,0.6905,False,,,,no_axenic_match
gluconate,day 89,2,0.5304,0.9316,False,,,,no_axenic_match
glycerol,day 89,1,0.2233,0.9316,False,,,,no_axenic_match
glycine,day 89,2,0.6224,0.9316,False,,,,no_axenic_match
maltose/moltooligosaccharide,day 89,1,0.7549,0.7153,False,,,,no_axenic_match
nicotinamide mononucleotide,day 89,1,0.6569,0.8075,False,,,,no_axenic_match
nucleoside,day 89,2,0.9595,0.6052,False,,,,no_axenic_match
oligopeptide,day 89,1,0.7463,0.7153,False,,,,no_axenic_match
peptide,day 89,2,0.5568,0.9316,False,,,,no_axenic_match
peptide/nickel,day 89,1,0.8834,0.1996,False,,,,no_axenic_match
phospholipid/cholesterol/gamma-HCH,day 89,1,0.17,0.9641,False,,,,no_axenic_match
polar amino acid,day 89,6,0.7739,0.9316,False,,,,no_axenic_match
proline,day 89,2,0.6308,0.9316,False,,,,no_axenic_match
putative spermidine/putrescine,day 89,1,0.1546,0.9453,False,,,,no_axenic_match
putative tryptophan/tyrosine,day 89,1,0.3773,0.9316,False,,,,no_axenic_match
serine/threonine,day 89,1,0.7273,0.7153,False,,,,no_axenic_match
sugar,day 89,4,0.7461,0.9316,False,,,,no_axenic_match
vitamin B12,day 89,1,0.8317,0.6905,False,,,,no_axenic_match
xylose,day 89,1,0.7359,0.7153,False,,,,no_axenic_match
3-phenylpropionic acid,days 60+89,2,0.8882,0.8009,False,0.7712,0.7594,False,False
L-lactate,days 60+89,1,0.9992,0.033,True,0.999,0.0462,True,False
adenine/guanine/hypoxanthine,days 60+89,1,0.4607,0.923,False,0.5601,0.7594,False,False
amino acid,days 60+89,3,0.7869,0.923,False,0.8386,0.7594,False,False
aminobenzoyl-glutamate,days 60+89,1,0.4331,0.923,False,0.8971,0.4125,False,False
benzoate,days 60+89,1,0.8376,0.7646,False,0.9932,0.1155,False,False
betaine/carnitine,days 60+89,1,0.3147,0.923,False,0.3794,0.8903,False,False
branched-chain amino acid,days 60+89,1,0.0839,0.9644,False,0.0938,0.9171,False,False
carbohydrate,days 60+89,1,0.9762,0.2695,False,0.9894,0.121,False,False
carboxylate,days 60+89,2,0.2392,0.9644,False,0.8419,0.5297,False,False
choline,days 60+89,1,0.4815,0.923,False,0.2527,0.8903,False,False
choline/glycine/proline betaine,days 60+89,2,0.2466,0.9644,False,0.4374,0.8903,False,False
dipeptide,days 60+89,1,0.744,0.5868,False,0.8479,0.2033,False,False
fucose,days 60+89,1,0.3431,0.923,False,0.815,0.3257,False,False
fucose/galactose/glucose,days 60+89,3,0.9658,0.5868,False,0.9896,0.2033,False,False
gluconate,days 60+89,2,0.4744,0.923,False,0.4524,0.8903,False,False
glycerol,days 60+89,1,0.3066,0.923,False,0.22,0.8903,False,False
glycine,days 60+89,2,0.6181,0.923,False,0.761,0.7594,False,False
maltose/moltooligosaccharide,days 60+89,1,0.6908,0.8145,False,0.7511,0.5297,False,False
nicotinamide mononucleotide,days 60+89,1,0.5573,0.923,False,0.444,0.8771,False,False
nucleoside,days 60+89,2,0.9683,0.5271,False,0.9782,0.2403,False,False
oligopeptide,days 60+89,1,0.7567,0.8009,False,0.8601,0.4702,False,False
peptide,days 60+89,2,0.4981,0.923,False,0.628,0.8771,False,False
peptide/nickel,days 60+89,1,0.9143,0.0808,True,0.6708,0.5194,False,True
phospholipid/cholesterol/gamma-HCH,days 60+89,1,0.1799,0.9644,False,0.2826,0.916,False,False
polar amino acid,days 60+89,6,0.7734,0.923,False,0.6668,0.9171,False,False
proline,days 60+89,2,0.5986,0.923,False,0.6295,0.8903,False,False
putative spermidine/putrescine,days 60+89,1,0.1883,0.923,False,0.1994,0.8903,False,False
putative tryptophan/tyrosine,days 60+89,1,0.3545,0.923,False,0.3186,0.8903,False,False
serine/threonine,days 60+89,1,0.6807,0.8145,False,0.8147,0.5194,False,False
sugar,days 60+89,4,0.7108,0.923,False,0.744,0.8903,False,False
vitamin B12,days 60+89,1,0.7372,0.8009,False,0.874,0.4528,False,False
xylose,days 60+89,1,0.7326,0.8009,False,0.759,0.5297,False,False
