substrate_call,timepoint,n_systems,coc_effect,coc_q,coc_called_up,ax_effect,ax_q,ax_called_up,coculture_specific
3-phenylpropionic acid,day 18,2,0.6949,0.9769,False,0.8079,0.6832,False,False
L-lactate,day 18,1,0.9589,0.3025,False,0.4374,0.8107,False,False
adenine/guanine/hypoxanthine,day 18,1,0.2065,0.9769,False,0.688,0.656,False,False
amino acid,day 18,3,0.6873,0.9769,False,0.8936,0.656,False,False
aminobenzoyl-glutamate,day 18,1,0.0661,0.9769,False,0.9149,0.4499,False,False
benzoate,day 18,1,0.6495,0.9769,False,0.7511,0.656,False,False
betaine/carnitine,day 18,1,0.1675,0.9769,False,0.3411,0.8792,False,False
branched-chain amino acid,day 18,1,0.1475,0.9769,False,0.2544,0.8792,False,False
carbohydrate,day 18,1,0.998,0.0759,True,0.6006,0.7114,False,True
carboxylate,day 18,2,0.279,0.9769,False,0.9384,0.4499,False,False
choline,day 18,1,0.3695,0.9769,False,0.1419,0.9262,False,False
choline/glycine/proline betaine,day 18,2,0.1396,0.9797,False,0.2772,0.9262,False,False
dipeptide,day 18,1,0.299,0.9769,False,0.9214,0.1584,False,False
fucose,day 18,1,0.8443,0.3025,False,0.5909,0.6832,False,False
fucose/galactose/glucose,day 18,3,0.9838,0.3025,False,0.9399,0.656,False,False
gluconate,day 18,2,0.257,0.9769,False,0.5056,0.8792,False,False
glycerol,day 18,1,0.0715,0.9769,False,0.1265,0.9262,False,False
glycine,day 18,2,0.5195,0.9769,False,0.762,0.7114,False,False
maltose/moltooligosaccharide,day 18,1,0.7364,0.9769,False,0.723,0.656,False,False
nicotinamide mononucleotide,day 18,1,0.5114,0.9769,False,0.3021,0.8792,False,False
nucleoside,day 18,2,0.8168,0.9769,False,0.8862,0.656,False,False
oligopeptide,day 18,1,0.7785,0.9769,False,0.7694,0.656,False,False
peptide,day 18,2,0.3784,0.9769,False,0.493,0.8792,False,False
peptide/nickel,day 18,1,0.8211,0.3025,False,0.7726,0.4499,False,False
phospholipid/cholesterol/gamma-HCH,day 18,1,0.278,0.9769,False,0.3426,0.8792,False,False
polar amino acid,day 18,6,0.8132,0.9769,False,0.6789,0.9262,False,False
proline,day 18,2,0.6338,0.9769,False,0.8839,0.656,False,False
putative spermidine/putrescine,day 18,1,0.1128,0.9769,False,0.4861,0.8107,False,False
putative tryptophan/tyrosine,day 18,1,0.3867,0.9769,False,0.4455,0.8107,False,False
serine/threonine,day 18,1,0.944,0.3025,False,0.9506,0.4499,False,False
sugar,day 18,4,0.5674,0.9769,False,0.8654,0.7114,False,False
vitamin B12,day 18,1,0.5682,0.9769,False,0.9204,0.4499,False,False
xylose,day 18,1,0.5616,0.9769,False,0.7273,0.656,False,False
3-phenylpropionic acid,day 31,2,0.9179,0.779,False,0.739,0.8348,False,False
L-lactate,day 31,1,0.999,0.0165,True,0.5456,0.8348,False,True
adenine/guanine/hypoxanthine,day 31,1,0.3862,0.9109,False,0.4858,0.8348,False,False
amino acid,day 31,3,0.8125,0.9109,False,0.7897,0.8348,False,False
aminobenzoyl-glutamate,day 31,1,0.1508,0.9645,False,0.7121,0.8348,False,False
benzoate,day 31,1,0.8092,0.779,False,0.832,0.6852,False,False
betaine/carnitine,day 31,1,0.3672,0.9109,False,0.2554,0.867,False,False
branched-chain amino acid,day 31,1,0.0644,0.9645,False,0.2818,0.867,False,False
carbohydrate,day 31,1,0.8239,0.779,False,0.9364,0.6852,False,False
carboxylate,day 31,2,0.2471,0.9645,False,0.8383,0.7299,False,False
choline,day 31,1,0.5241,0.9109,False,0.2423,0.867,False,False
choline/glycine/proline betaine,day 31,2,0.3368,0.9645,False,0.5061,0.867,False,False
dipeptide,day 31,1,0.5112,0.9109,False,0.8449,0.6852,False,False
fucose,day 31,1,0.7216,0.779,False,0.5668,0.8348,False,False
fucose/galactose/glucose,day 31,3,0.8961,0.779,False,0.9366,0.6852,False,False
gluconate,day 31,2,0.3289,0.9645,False,0.3302,0.9393,False,False
glycerol,day 31,1,0.371,0.9109,False,0.0897,0.9393,False,False
glycine,day 31,2,0.6632,0.9109,False,0.6893,0.8348,False,False
maltose/moltooligosaccharide,day 31,1,0.9217,0.779,False,0.5015,0.8348,False,False
nicotinamide mononucleotide,day 31,1,0.7146,0.779,False,0.3847,0.867,False,False
nucleoside,day 31,2,0.9387,0.779,False,0.9161,0.6852,False,False
oligopeptide,day 31,1,0.7704,0.779,False,0.8145,0.6852,False,False
peptide,day 31,2,0.425,0.9645,False,0.6627,0.8348,False,False
peptide/nickel,day 31,1,0.9518,0.0165,True,0.7465,0.6852,False,True
phospholipid/cholesterol/gamma-HCH,day 31,1,0.2235,0.9645,False,0.1875,0.9543,False,False
polar amino acid,day 31,6,0.8006,0.9478,False,0.8066,0.867,False,False
proline,day 31,2,0.645,0.9109,False,0.7116,0.8348,False,False
putative spermidine/putrescine,day 31,1,0.2484,0.9478,False,0.2638,0.867,False,False
putative tryptophan/tyrosine,day 31,1,0.4706,0.9109,False,0.3127,0.867,False,False
serine/threonine,day 31,1,0.7228,0.779,False,0.9551,0.6852,False,False
sugar,day 31,4,0.7273,0.9478,False,0.6622,0.8827,False,False
vitamin B12,day 31,1,0.5788,0.9109,False,0.892,0.6852,False,False
xylose,day 31,1,0.6247,0.9109,False,0.5451,0.8348,False,False
3-phenylpropionic acid,day 60,2,0.8961,0.9093,False,,,,no_axenic_match
L-lactate,day 60,1,0.9995,0.033,True,,,,no_axenic_match
adenine/guanine/hypoxanthine,day 60,1,0.4065,0.9216,False,,,,no_axenic_match
amino acid,day 60,3,0.7402,0.9216,False,,,,no_axenic_match
aminobenzoyl-glutamate,day 60,1,0.3449,0.9216,False,,,,no_axenic_match
benzoate,day 60,1,0.6807,0.9093,False,,,,no_axenic_match
betaine/carnitine,day 60,1,0.4118,0.9216,False,,,,no_axenic_match
branched-chain amino acid,day 60,1,0.1044,0.9861,False,,,,no_axenic_match
carbohydrate,day 60,1,0.9828,0.1782,False,,,,no_axenic_match
carboxylate,day 60,2,0.1708,0.9883,False,,,,no_axenic_match
choline,day 60,1,0.6224,0.9093,False,,,,no_axenic_match
choline/glycine/proline betaine,day 60,2,0.2174,0.9883,False,,,,no_axenic_match
