locus_tag,log2fc,expression_status,timepoint
ACZ81_18535,6.83469645182292,significant_up,day 89
ACZ81_18535,6.62029520670573,significant_up,days 60+89
ACZ81_18535,6.40589396158854,significant_up,day 60
ACZ81_18535,5.87431716918945,significant_up,day 31
ACZ81_20300,-4.74009513854981,significant_down,day 89
ACZ81_17215,4.73836580912272,significant_up,day 89
ACZ81_16310,4.6706968943278,significant_up,day 31
ACZ81_17215,4.64843622843425,significant_up,days 60+89
ACZ81_20300,-4.62683741251628,significant_down,days 60+89
ACZ81_17215,4.55850664774577,significant_up,day 60
ACZ81_10105,4.52769724527995,significant_up,day 89
ACZ81_20300,-4.51357968648275,significant_down,day 60
ACZ81_18505,4.32325172424317,significant_up,day 31
ACZ81_08480,4.28589026133219,significant_up,day 89
ACZ81_10105,4.22301292419434,significant_up,days 60+89
ACZ81_18505,4.16251118977865,significant_up,day 60
ACZ81_18525,4.12941265106201,significant_up,day 31
ACZ81_18755,-4.11012903849284,significant_down,day 60
ACZ81_02485,4.09452565511068,significant_up,day 89
ACZ81_16310,4.05366516113281,significant_up,day 60
ACZ81_17215,3.99639256795247,significant_up,day 31
ACZ81_18510,3.98770078023275,significant_up,day 31
ACZ81_05480,3.95065879821777,significant_up,day 60
ACZ81_10105,3.91832860310872,significant_up,day 60
ACZ81_09825,3.90130297342937,significant_up,day 89
ACZ81_02485,3.89796288808187,significant_up,days 60+89
ACZ81_18525,3.87167453765869,significant_up,day 89
ACZ81_15570,-3.86414591471354,significant_down,day 89
ACZ81_09830,3.84836705525716,significant_up,day 31
ACZ81_09825,3.82866287231446,significant_up,day 31
ACZ81_16275,-3.82494926452637,significant_down,day 18
ACZ81_04245,-3.81578890482584,significant_down,day 89
ACZ81_09825,3.80790201822917,significant_up,days 60+89
ACZ81_16310,3.7818177541097,significant_up,days 60+89
ACZ81_18910,3.76478004455566,significant_up,day 89
ACZ81_18525,3.76453304290771,significant_up,days 60+89
ACZ81_09815,3.74248250325521,significant_up,day 89
ACZ81_18505,3.72263749440511,significant_up,days 60+89
ACZ81_08480,3.71997419993083,significant_up,days 60+89
ACZ81_09825,3.71450106302898,significant_up,day 60
ACZ81_02485,3.70140012105306,significant_up,day 60
ACZ81_10865,-3.70116106669108,significant_down,day 60
ACZ81_19450,3.69688860575358,significant_up,day 89
ACZ81_10335,-3.6797669728597,significant_down,day 89
ACZ81_18525,3.65739154815674,significant_up,day 60
ACZ81_02170,-3.63133939107259,significant_down,day 89
ACZ81_05480,3.54818471272786,significant_up,days 60+89
ACZ81_14000,-3.52328491210937,not_significant,day 18
ACZ81_05470,3.52177747090657,significant_up,day 31
ACZ81_09010,-3.51911036173503,significant_down,day 31
ACZ81_06200,3.51805178324381,significant_up,day 89
ACZ81_16310,3.50997034708659,significant_up,day 89
ACZ81_05350,3.49890391031901,significant_up,day 31
ACZ81_04245,-3.49416224161784,significant_down,days 60+89
ACZ81_19450,3.47278436024984,significant_up,days 60+89
ACZ81_05480,3.46789868672689,significant_up,day 31
ACZ81_09815,3.46572558085124,significant_up,days 60+89
ACZ81_02460,3.43475341796875,significant_up,day 89
ACZ81_06200,3.42487208048503,significant_up,days 60+89
ACZ81_10335,-3.42085107167562,significant_down,days 60+89
ACZ81_05350,3.41834704081218,significant_up,day 18
ACZ81_10540,-3.40104166666667,significant_down,day 31
ACZ81_18910,3.37425867716471,significant_up,days 60+89
ACZ81_09895,3.37001164754232,significant_up,day 89
ACZ81_10365,-3.35809834798177,significant_down,day 89
ACZ81_18755,-3.33363056182861,significant_down,days 60+89
ACZ81_06200,3.33169237772624,significant_up,day 60
ACZ81_19450,3.33168284098308,significant_up,day 31
ACZ81_15570,-3.32925097147624,significant_down,day 31
ACZ81_17100,-3.32117080688476,significant_down,day 60
ACZ81_18510,3.29260698954264,significant_up,day 60
ACZ81_18505,3.28276379903158,significant_up,day 89
ACZ81_18510,3.25672403971354,significant_up,days 60+89
ACZ81_02705,3.25628471374512,significant_up,day 60
ACZ81_19450,3.2486801147461,significant_up,day 60
ACZ81_04930,3.24009641011556,significant_up,day 31
ACZ81_02170,-3.2370491027832,significant_down,days 60+89
ACZ81_18510,3.22084108988444,significant_up,day 89
ACZ81_05470,3.22041130065918,significant_up,day 60
ACZ81_11825,-3.21828587849935,significant_down,day 60
ACZ81_02705,3.21658070882161,significant_up,days 60+89
ACZ81_15985,3.21045684814453,significant_up,day 89
ACZ81_11825,-3.20366096496582,significant_down,days 60+89
ACZ81_00450,-3.20131174723307,significant_down,day 89
ACZ81_11825,-3.18903605143229,significant_down,day 89
ACZ81_09815,3.18896865844726,significant_up,day 60
ACZ81_13955,3.1814759572347,significant_up,day 89
ACZ81_02705,3.17687670389811,significant_up,day 89
ACZ81_04245,-3.17253557840983,significant_down,day 60
ACZ81_10335,-3.16193517049154,significant_down,day 60
ACZ81_08480,3.15405813852946,significant_up,day 60
ACZ81_05480,3.14571062723796,significant_up,day 89
ACZ81_12330,3.13764190673828,significant_up,day 60
ACZ81_01515,3.1359182993571,significant_up,day 89
ACZ81_10365,-3.13545672098796,significant_down,days 60+89
ACZ81_06495,3.10196177164714,significant_up,day 60
ACZ81_18640,-3.08659489949545,significant_down,day 89
ACZ81_RS20500,3.08138338724772,significant_up,day 18
ACZ81_02460,3.07965850830078,significant_up,days 60+89
ACZ81_09830,3.07352193196615,significant_up,day 89
ACZ81_04250,-3.06818707784017,significant_down,day 60
ACZ81_09105,3.0635871887207,significant_up,day 31
ACZ81_15440,3.05711174011231,significant_up,day 89
ACZ81_15335,-3.04800542195638,significant_down,day 60
ACZ81_15335,-3.0453265508016,significant_down,days 60+89
ACZ81_15335,-3.04264767964681,significant_down,day 89
ACZ81_09895,3.03843530019125,significant_up,days 60+89
ACZ81_20300,-3.02966753641765,significant_down,day 31
ACZ81_15760,3.02955627441406,significant_up,day 89
ACZ81_15570,-3.02171325683594,significant_down,days 60+89
ACZ81_08045,-3.01743507385254,significant_down,day 89
ACZ81_09815,3.0113468170166,significant_up,day 31
ACZ81_10335,-3.00386619567871,significant_down,day 31
ACZ81_09830,3.00331846872966,significant_up,days 60+89
ACZ81_05470,3.00019454956055,significant_up,days 60+89
ACZ81_13955,2.99191570281982,significant_up,days 60+89
ACZ81_19000,-2.98599370320638,significant_down,day 60
ACZ81_18910,2.98373730977376,significant_up,day 60
ACZ81_19000,-2.98075866699219,significant_down,day 31
ACZ81_06125,-2.97086079915365,significant_down,day 89
ACZ81_14655,-2.96950848897299,significant_down,day 18
ACZ81_18910,2.96610005696614,significant_up,day 31
ACZ81_10540,-2.96057319641113,significant_down,day 60
ACZ81_11035,2.95248095194499,significant_up,day 89
ACZ81_01015,2.94815381368001,significant_up,day 89
ACZ81_09830,2.93311500549317,significant_up,day 60
ACZ81_16800,-2.93013509114583,significant_down,day 60
ACZ81_13600,2.92314243316651,not_significant,day 31
ACZ81_11275,2.92051823933919,significant_up,day 89
ACZ81_08850,2.91351826985677,significant_up,day 89
ACZ81_10365,-2.91281509399414,significant_down,day 60
ACZ81_19000,-2.90366903940837,significant_down,days 60+89
ACZ81_09015,-2.89106178283691,significant_down,day 60
ACZ81_11285,2.8888734181722,significant_up,day 60
ACZ81_15595,2.88420232137044,significant_up,day 60
ACZ81_12330,2.8809855779012,significant_up,days 60+89
ACZ81_05065,2.87642733256022,significant_up,day 89
ACZ81_01015,2.86122449239095,significant_up,days 60+89
ACZ81_03395,-2.86078707377116,significant_down,day 31
ACZ81_03380,-2.85988426208496,significant_down,day 31
ACZ81_03390,-2.85453987121582,significant_down,day 60
ACZ81_13850,-2.85136349995931,significant_down,day 60
ACZ81_09895,2.85091972351075,significant_up,day 31
ACZ81_12350,-2.84651565551758,significant_down,day 60
ACZ81_02170,-2.84275881449382,significant_down,day 60
