locus_tag,gene_name,product,gene_category,log2fc,padj,expression_status,timepoint
EZ55_02634,,HvfA family oxazolone/thioamide-modified RiPP metallophore,Unknown,4.475370071,1.25e-24,significant_up,mid-exponential
EZ55_00872,,organic hydroperoxide resistance protein,Post-translational modification,3.69193586,9.72e-17,significant_up,mid-exponential
EZ55_00751,,IS110 family RNA-guided transposase,Replication and repair,3.550565844,1.1e-57,significant_up,mid-exponential
EZ55_02348,metE,methionine synthase,Amino acid metabolism,3.481173904,9.09e-16,significant_up,mid-exponential
EZ55_02347,,DUF1852 domain-containing protein,Unknown,3.279412391,9.63e-13,significant_up,mid-exponential
EZ55_01508,,carboxymuconolactone decarboxylase family protein,Unknown,3.224196974,6.22e-27,significant_up,mid-exponential
EZ55_03067,,AAA family ATPase,Cell cycle and division,-3.184232465,3.28e-12,significant_down,mid-exponential
EZ55_03194,fucP,L-fucose:H+ symporter permease,Carbohydrate metabolism,3.135352618,2.46e-20,significant_up,mid-exponential
EZ55_01509,,IS110 family RNA-guided transposase,Replication and repair,2.850660885,7.24e-61,significant_up,mid-exponential
EZ55_01815,ahpF,alkyl hydroperoxide reductase subunit F,Post-translational modification,2.844076996,4.5e-15,significant_up,mid-exponential
EZ55_02372,maoP,DUF413 domain-containing protein,Unknown,-2.83762187,3.66e-06,significant_down,mid-exponential
EZ55_03523,,hypothetical protein,Unknown,2.819555383,3.88e-09,significant_up,mid-exponential
EZ55_03398,,hypothetical protein,Unknown,2.781230373,4.92e-28,significant_up,mid-exponential
EZ55_01782,,DUF3718 domain-containing protein,Unknown,-2.754231991,1.64e-07,significant_down,mid-exponential
EZ55_03277,,NAD(P)H-dependent oxidoreductase,Unknown,2.730746269,5.09e-24,significant_up,mid-exponential
EZ55_01814,ahpC,alkyl hydroperoxide reductase subunit C,Post-translational modification,2.716898854,1.68e-20,significant_up,mid-exponential
EZ55_01776,,DUF3718 domain-containing protein,Unknown,-2.686031629,2.34e-06,significant_down,mid-exponential
EZ55_01810,,2OG-Fe(II) oxygenase,Post-translational modification,-2.644982238,3.92e-06,significant_down,mid-exponential
EZ55_02984,,TonB-dependent receptor,Inorganic ion transport,2.632393989,9.22e-17,significant_up,mid-exponential
EZ55_02569,,phasin-related domain-containing protein,Unknown,2.598764684,2.55e-26,significant_up,mid-exponential
EZ55_02371,,hypothetical protein,Unknown,-2.566433729,3.99e-06,significant_down,mid-exponential
