locus_tag,log2fc,expression_status,timepoint
ACZ81_19860,5.87598133087158,significant_up,day 31
ACZ81_15955,5.2395035425822,significant_up,day 31
ACZ81_02460,4.84160772959391,significant_up,day 31
ACZ81_11930,4.81805578867595,significant_up,day 31
ACZ81_05030,4.80663522084554,significant_up,day 31
ACZ81_05070,4.75572935740153,significant_up,day 31
ACZ81_17395,4.63555876413981,significant_up,day 31
ACZ81_03785,4.6351302464803,significant_up,day 31
ACZ81_04190,4.63504632314046,significant_up,day 31
ACZ81_05530,4.62650330861408,significant_up,day 31
ACZ81_17190,-4.61417802174886,significant_down,day 31
ACZ81_12760,4.51179917653402,significant_up,day 31
ACZ81_18270,4.50348567962646,significant_up,day 31
ACZ81_10585,4.48564116160075,significant_up,day 31
ACZ81_18550,4.47350152333577,significant_up,day 31
ACZ81_13925,4.46899827321371,significant_up,day 31
ACZ81_08720,4.45464166005453,significant_up,day 31
ACZ81_01830,4.45361614227295,significant_up,day 31
ACZ81_03900,4.42990144093832,significant_up,day 31
ACZ81_14810,4.42374642690023,significant_up,day 31
ACZ81_13955,4.41903845469156,significant_up,day 31
ACZ81_05015,4.41190814971924,significant_up,day 31
ACZ81_11100,4.40796248118083,significant_up,day 31
ACZ81_03260,4.40776348114014,significant_up,day 31
ACZ81_12230,4.40446440378825,significant_up,day 31
ACZ81_15720,4.37633101145426,significant_up,day 31
ACZ81_16065,4.37618287404378,significant_up,day 31
ACZ81_17980,4.37600421905518,significant_up,day 31
ACZ81_00135,4.35396162668864,significant_up,day 31
ACZ81_02185,4.35302829742432,significant_up,day 31
ACZ81_05060,4.33706823984782,significant_up,day 31
ACZ81_03055,4.33349577585857,significant_up,day 31
ACZ81_11035,4.32082589467366,significant_up,day 31
ACZ81_11430,4.31885178883871,significant_up,day 31
ACZ81_16700,4.31867440541586,significant_up,day 31
ACZ81_01015,4.29369831085205,significant_up,day 31
ACZ81_03660,4.29020404815674,significant_up,day 31
ACZ81_16290,4.28633785247803,significant_up,day 31
ACZ81_02215,4.27679856618245,significant_up,day 31
ACZ81_18645,4.26814937591553,significant_up,day 31
ACZ81_01515,4.2524455388387,significant_up,day 31
ACZ81_15275,4.24727980295817,significant_up,day 31
ACZ81_00615,4.24177900950114,significant_up,day 31
ACZ81_18810,4.23487695058187,significant_up,day 31
ACZ81_19385,4.23356596628825,significant_up,day 31
ACZ81_15950,4.23212718963623,significant_up,day 31
ACZ81_05065,4.22892920176188,significant_up,day 31
ACZ81_08875,4.22292995452881,significant_up,day 31
ACZ81_06575,4.21570491790772,significant_up,day 31
ACZ81_16740,4.21536095937093,significant_up,day 31
ACZ81_03190,4.21384525299072,significant_up,day 31
ACZ81_14890,4.20824654897054,significant_up,day 31
ACZ81_05900,4.20610268910727,significant_up,day 31
ACZ81_00430,4.20117982228597,significant_up,day 31
ACZ81_07200,4.19585577646891,significant_up,day 31
ACZ81_09095,4.19285996754964,significant_up,day 31
ACZ81_15840,4.18985780080159,significant_up,day 31
ACZ81_05525,4.17860253651937,significant_up,day 31
ACZ81_02315,4.16620922088623,significant_up,day 31
ACZ81_10265,4.15783341725668,significant_up,day 31
ACZ81_16850,4.157333056132,significant_up,day 31
ACZ81_16150,4.15244579315186,significant_up,day 31
ACZ81_03850,4.14659786224365,significant_up,day 31
ACZ81_05035,4.14106973012288,significant_up,day 31
ACZ81_18625,4.12843163808187,significant_up,day 31
ACZ81_14595,4.1278486251831,significant_up,day 31
ACZ81_10220,4.12670358022054,significant_up,day 31
ACZ81_07975,4.12103176116943,significant_up,day 31
ACZ81_19950,4.10757223765055,significant_up,day 31
ACZ81_00265,-4.10255018870036,significant_down,day 31
ACZ81_01095,4.08133792877197,significant_up,day 31
ACZ81_04240,4.06660111745199,significant_up,day 31
ACZ81_05600,4.04182656606038,significant_up,day 31
ACZ81_07860,4.03766600290934,significant_up,day 31
ACZ81_00945,4.03358936309814,significant_up,day 31
ACZ81_14210,4.03306420644124,significant_up,day 31
ACZ81_16600,4.03142007191976,significant_up,day 31
ACZ81_19120,4.02838102976481,significant_up,day 31
ACZ81_16570,4.0246369043986,significant_up,day 31
ACZ81_11295,4.02145481109619,significant_up,day 31
ACZ81_19770,4.01583258310954,significant_up,day 31
ACZ81_18535,4.01284567515055,significant_up,day 31
ACZ81_17965,4.00063228607178,significant_up,day 31
ACZ81_17560,3.98381137847901,significant_up,day 31
ACZ81_03375,3.97757879892985,significant_up,day 31
ACZ81_17465,3.9607826868693,significant_up,day 31
ACZ81_18945,3.95717271169027,significant_up,day 31
ACZ81_08900,3.95466454823812,significant_up,day 31
ACZ81_09895,3.94242827097575,significant_up,day 31
ACZ81_08850,3.93017609914144,significant_up,day 31
ACZ81_00385,3.92870489756266,significant_up,day 31
ACZ81_12900,3.91128126780192,significant_up,day 31
ACZ81_09885,3.89651012420654,significant_up,day 31
ACZ81_08430,3.87935479482015,significant_up,day 31
ACZ81_15760,3.87275346120199,significant_up,day 31
ACZ81_11895,3.87249596913655,significant_up,day 31
ACZ81_01975,3.86953131357829,significant_up,day 31
ACZ81_09825,3.865340868632,significant_up,day 31
ACZ81_17875,3.85995133717855,significant_up,day 31
ACZ81_16090,3.85444227854411,significant_up,day 31
ACZ81_11210,3.84991296132405,significant_up,day 31
ACZ81_09005,3.84187857309977,significant_up,day 31
ACZ81_16035,3.81718858083089,significant_up,day 31
ACZ81_16805,3.81207370758057,significant_up,day 31
ACZ81_09295,3.80991649627685,significant_up,day 31
ACZ81_13885,3.79323927561442,significant_up,day 31
ACZ81_08330,3.7913293838501,significant_up,day 31
ACZ81_05370,3.78225485483805,significant_up,day 31
ACZ81_06545,3.77231693267822,significant_up,day 31
ACZ81_14680,3.7704668045044,significant_up,day 31
ACZ81_06510,3.75902016957601,significant_up,day 31
ACZ81_05915,3.75344562530518,significant_up,day 31
ACZ81_02740,3.74096075693767,significant_up,day 31
ACZ81_18785,3.73059813181559,significant_up,day 31
ACZ81_10795,3.716690381368,significant_up,day 31
ACZ81_13940,3.71237786610921,significant_up,day 31
ACZ81_05045,3.70861975351969,significant_up,day 31
ACZ81_16130,3.6937239964803,significant_up,day 31
ACZ81_16760,3.69173844655355,significant_up,day 31
ACZ81_18910,3.66452630360921,significant_up,day 31
ACZ81_14495,3.65647347768148,significant_up,day 31
ACZ81_01115,3.63621807098389,significant_up,day 31
ACZ81_00050,-3.59957408905029,significant_down,day 31
ACZ81_12890,3.58832963307699,significant_up,day 31
ACZ81_04230,3.58014583587646,significant_up,day 31
ACZ81_02470,3.57721614837646,significant_up,day 31
ACZ81_05025,3.57014497121175,significant_up,day 31
ACZ81_02945,3.55319499969482,significant_up,day 31
ACZ81_17270,-3.54327360788981,significant_down,day 31
ACZ81_01100,3.51609643300375,significant_up,day 31
ACZ81_16690,3.51495265960694,significant_up,day 31
ACZ81_18675,3.50978565216065,significant_up,day 31
ACZ81_15470,3.5075298945109,significant_up,day 31
ACZ81_09815,3.50367641448975,significant_up,day 31
ACZ81_16425,3.46664651234945,significant_up,day 31
ACZ81_09770,3.45038572947184,significant_up,day 31
ACZ81_18640,3.43716907501221,significant_up,day 31
ACZ81_00300,3.40301163991292,significant_up,day 31
ACZ81_15985,3.37934080759685,significant_up,day 31
ACZ81_03515,3.37267208099365,significant_up,day 31
ACZ81_03780,3.36204369862874,significant_up,day 31
ACZ81_06200,3.35702164967855,significant_up,day 31
ACZ81_19250,3.34194151560465,significant_up,day 31
ACZ81_03370,3.33744525909424,significant_up,day 31
ACZ81_10355,3.31044419606527,significant_up,day 31
ACZ81_07025,3.28330707550049,significant_up,day 31
ACZ81_17480,3.28204313913981,significant_up,day 31
ACZ81_05345,3.2819725672404,significant_up,day 31
ACZ81_03315,3.25028642018636,significant_up,day 31
ACZ81_01420,-3.23763370513916,significant_down,day 31
ACZ81_00260,3.23544088999431,significant_up,day 31
ACZ81_13400,3.23031330108642,significant_up,day 31
