locus_tag,log2fc,expression_status,timepoint
ACZ81_RS21240,-10.51400702546802,significant_down,day 31
ACZ81_16915,-9.843975954186185,significant_down,day 31
ACZ81_02025,-7.770996145861759,significant_down,day 31
ACZ81_08360,-6.836202642240085,significant_down,day 31
ACZ81_08840,-6.695903631519934,significant_down,day 31
ACZ81_08845,-6.424629750621746,significant_down,day 31
ACZ81_16910,-6.370506292530997,significant_down,day 31
ACZ81_08475,6.364989799186489,significant_up,days 60+89
ACZ81_08485,6.238747039163464,significant_up,days 60+89
ACZ81_16910,-6.181810469135925,significant_down,day 18
ACZ81_03615,-6.1549208899821535,significant_down,days 60+89
ACZ81_08480,6.109978141154261,significant_up,days 60+89
ACZ81_03165,6.0689978041506025,significant_up,days 60+89
ACZ81_12890,6.027195947973509,significant_up,days 60+89
ACZ81_00135,-5.928771358009536,significant_down,days 60+89
ACZ81_17215,5.73449632665965,significant_up,days 60+89
ACZ81_02340,-5.68554732645719,significant_down,day 31
ACZ81_01475,-5.654799427443318,significant_down,days 60+89
ACZ81_16050,5.531258559593081,significant_up,days 60+89
ACZ81_16125,-5.360622002930613,significant_down,day 31
ACZ81_01465,-5.328453510883864,significant_down,days 60+89
ACZ81_06500,-5.32344167548372,significant_down,day 31
ACZ81_01470,-5.302870800511328,significant_down,days 60+89
ACZ81_03125,5.27340614015912,significant_up,days 60+89
ACZ81_16580,5.2070880440617024,significant_up,days 60+89
ACZ81_17630,5.100022274689959,significant_up,days 60+89
ACZ81_20705,-5.00520517818132,significant_down,days 60+89
ACZ81_RS21145,-4.952503429671713,significant_down,day 31
ACZ81_11420,-4.945362446709661,significant_down,days 60+89
ACZ81_01460,-4.729392384526226,significant_down,days 60+89
ACZ81_18535,4.710359940172897,significant_up,days 60+89
ACZ81_18275,-4.696285656364557,significant_down,day 31
ACZ81_10030,-4.636826568919935,significant_down,days 60+89
ACZ81_16515,-4.618626408191016,not_significant,day 18
ACZ81_05060,-4.605491016521965,significant_down,days 60+89
ACZ81_05065,-4.573182817101836,significant_down,days 60+89
ACZ81_02865,-4.570642617090793,significant_down,days 60+89
ACZ81_03160,4.563657104583986,significant_up,days 60+89
ACZ81_03170,4.559935764078888,significant_up,days 60+89
ACZ81_03610,-4.5079660949492,significant_down,days 60+89
ACZ81_12885,4.489444803435484,significant_up,days 60+89
ACZ81_16910,-4.461822615847308,significant_down,days 60+89
ACZ81_08845,-4.448881525355577,significant_down,day 18
ACZ81_01825,4.416069444590448,significant_up,days 60+89
ACZ81_17630,4.4060833124708605,not_significant,day 31
ACZ81_12900,4.395801759657244,significant_up,days 60+89
ACZ81_17120,4.390255739065504,significant_up,day 18
ACZ81_08675,-4.354382495074158,significant_down,days 60+89
ACZ81_02025,-4.341386839086296,significant_down,day 18
ACZ81_18650,-4.273027986540028,significant_down,days 60+89
ACZ81_16575,4.227388773855247,significant_up,days 60+89
ACZ81_11245,-4.21111528605893,significant_down,days 60+89
ACZ81_07395,4.190118766472634,significant_up,days 60+89
ACZ81_16390,-4.186890665580479,significant_down,days 60+89
ACZ81_03710,-4.151353558054339,significant_down,days 60+89
ACZ81_16915,-4.149843219893629,significant_down,day 18
ACZ81_13530,-4.136652541260948,significant_down,day 31
ACZ81_11250,-4.132384598641232,significant_down,days 60+89
ACZ81_17120,4.116368571718168,significant_up,days 60+89
ACZ81_14855,-4.112298725277386,significant_down,days 60+89
ACZ81_11490,-4.1002079857619576,significant_down,days 60+89
ACZ81_15025,-4.09567661099944,significant_down,day 31
ACZ81_03035,-4.081855729342654,significant_down,days 60+89
ACZ81_14990,-4.080443301795872,significant_down,days 60+89
ACZ81_06180,-4.069676393760563,significant_down,days 60+89
ACZ81_14195,-4.0681194980346085,significant_down,days 60+89
ACZ81_05120,-4.061641378197811,significant_down,days 60+89
ACZ81_04245,-4.055428874082625,significant_down,days 60+89
ACZ81_01455,-4.050633438898988,significant_down,days 60+89
ACZ81_03630,-4.016608265119614,significant_down,days 60+89
ACZ81_03380,4.014829422793969,significant_up,days 60+89
ACZ81_05070,-3.992392104871091,significant_down,days 60+89
ACZ81_16595,3.948732942432225,significant_up,days 60+89
ACZ81_07385,3.925726251626412,significant_up,days 60+89
ACZ81_16590,3.919659729007511,significant_up,days 60+89
ACZ81_17630,3.8985374560271073,not_significant,day 18
ACZ81_12350,-3.892325617797614,significant_down,days 60+89
ACZ81_04975,-3.872494115406892,significant_down,days 60+89
ACZ81_02020,-3.868019987695373,significant_down,days 60+89
ACZ81_12870,-3.857774947302857,significant_down,days 60+89
ACZ81_16980,-3.85765319524768,not_significant,day 31
ACZ81_16585,3.846763962971784,significant_up,days 60+89
ACZ81_00670,-3.829211927409751,significant_down,days 60+89
ACZ81_07390,3.824656173738013,significant_up,days 60+89
ACZ81_16230,-3.7823677020305455,significant_down,days 60+89
ACZ81_03120,3.7663633880477327,significant_up,days 60+89
ACZ81_03625,-3.765290622728464,significant_down,days 60+89
ACZ81_14680,-3.756516667061335,significant_down,days 60+89
ACZ81_09620,-3.7394991482149136,significant_down,day 31
ACZ81_08845,-3.730908944057399,significant_down,days 60+89
ACZ81_16385,-3.698077559278844,significant_down,days 60+89
ACZ81_09045,3.694088476812453,not_significant,day 18
ACZ81_04980,-3.682195189224242,significant_down,days 60+89
ACZ81_16085,3.6699391315039738,significant_up,days 60+89
ACZ81_06705,-3.667208489005132,significant_down,day 31
ACZ81_01485,-3.659537981433073,significant_down,days 60+89
ACZ81_05080,-3.6453348438711983,significant_down,days 60+89
ACZ81_08670,-3.64317806561548,significant_down,days 60+89
ACZ81_03335,3.6368091490532017,significant_up,days 60+89
ACZ81_05100,-3.63390638566637,significant_down,days 60+89
ACZ81_14685,-3.61998797232222,significant_down,days 60+89
ACZ81_04270,-3.608391530209284,significant_down,days 60+89
ACZ81_16515,-3.5976582830696344,not_significant,day 31
ACZ81_01830,3.5913485347500225,significant_up,days 60+89
ACZ81_10335,-3.579777682633545,significant_down,days 60+89
ACZ81_11425,-3.573003227749142,significant_down,days 60+89
ACZ81_17120,3.5663319462329,significant_up,day 31
ACZ81_09250,-3.558166697920438,significant_down,days 60+89
ACZ81_16125,-3.555910304048762,significant_down,days 60+89
ACZ81_14860,-3.5541934227796723,significant_down,days 60+89
ACZ81_16515,-3.5260676604390864,not_significant,days 60+89
ACZ81_08360,-3.520530010961864,significant_down,day 18
ACZ81_01470,-3.51824423284705,significant_down,day 18
ACZ81_16155,-3.5178686013902505,not_significant,day 18
ACZ81_08175,-3.493426526249107,significant_down,days 60+89
ACZ81_02340,-3.490127880255657,significant_down,day 18
ACZ81_10350,-3.48442020586728,significant_down,days 60+89
ACZ81_14325,3.477272647486901,significant_up,days 60+89
ACZ81_11960,3.4674688335686112,significant_up,days 60+89
ACZ81_19450,3.460195430890153,significant_up,day 18
ACZ81_19450,3.420312314470157,significant_up,days 60+89
ACZ81_02715,-3.4162948088016143,significant_down,day 18
ACZ81_03605,-3.406045892396616,significant_down,days 60+89
ACZ81_08635,-3.4044182016749858,significant_down,days 60+89
ACZ81_13525,-3.4041422901187337,significant_down,day 31
ACZ81_13975,3.402892619082656,significant_up,days 60+89
ACZ81_04265,-3.3892103562243983,significant_down,days 60+89
ACZ81_13530,-3.3889166830582966,significant_down,day 18
ACZ81_16450,-3.3800395241006664,significant_down,days 60+89
ACZ81_07715,-3.3758792535510245,significant_down,days 60+89
ACZ81_04460,3.374161670411555,significant_up,days 60+89
ACZ81_04490,-3.3703432971630485,significant_down,days 60+89
ACZ81_16600,3.3585436407120124,significant_up,days 60+89
ACZ81_04440,-3.356502880667453,significant_down,days 60+89
ACZ81_RS21295,3.345782995690426,significant_up,days 60+89
ACZ81_RS21250,-3.3412719079885607,not_significant,day 31
ACZ81_09435,-3.340333742681933,significant_down,days 60+89
ACZ81_11990,-3.334957804008565,significant_down,days 60+89
ACZ81_09105,-3.3345029149151584,significant_down,days 60+89
ACZ81_03130,3.333958957708598,significant_up,days 60+89
ACZ81_03210,-3.32581842702471,significant_down,days 60+89
ACZ81_09620,-3.320931960032324,significant_down,day 18
ACZ81_08700,-3.31249246592463,significant_down,day 18
ACZ81_07560,-3.30883610688004,not_significant,day 18
ACZ81_16125,-3.301216203792197,significant_down,day 18
ACZ81_10355,-3.2916555309983995,significant_down,days 60+89
ACZ81_05025,-3.2914782420644944,significant_down,days 60+89
ACZ81_12355,-3.275364993022592,significant_down,days 60+89
ACZ81_05125,-3.265858921436545,significant_down,days 60+89
ACZ81_01040,-3.2603237234891647,significant_down,days 60+89
ACZ81_19155,-3.245330517153396,significant_down,days 60+89
ACZ81_16425,-3.242822631365152,significant_down,days 60+89
ACZ81_02710,-3.236806760855766,significant_down,day 18
ACZ81_00665,-3.235819710535076,significant_down,days 60+89
ACZ81_06500,-3.2339488161603125,significant_down,day 18
ACZ81_05030,-3.220736642006221,significant_down,days 60+89
ACZ81_12345,-3.216323743751324,significant_down,days 60+89
ACZ81_16850,3.210350524964129,significant_up,days 60+89
ACZ81_10940,3.209485112179771,significant_up,days 60+89
ACZ81_18940,-3.200331587092612,significant_down,day 18
ACZ81_01465,-3.196547420115876,significant_down,day 18
ACZ81_18275,-3.1962171687914824,significant_down,day 18
ACZ81_18655,-3.1864504329571,significant_down,days 60+89
ACZ81_11895,-3.185136979287248,significant_down,days 60+89
ACZ81_05145,-3.167859322363596,significant_down,days 60+89
ACZ81_09625,-3.1549850152446925,significant_down,day 31
ACZ81_04920,-3.153576576919312,significant_down,days 60+89
ACZ81_05005,-3.152516316098811,significant_down,days 60+89
ACZ81_08840,-3.1478618054419294,significant_down,day 18
ACZ81_RS21240,-3.1320907579314445,significant_down,day 18
ACZ81_16445,-3.1252697923479777,significant_down,days 60+89
ACZ81_13525,-3.103108581804777,significant_down,day 18
ACZ81_19480,-3.0632945428270766,significant_down,day 31
