reference_class,substrate,carrier_family,tier,n_systems,experiment_label,omics,arm,timepoint,module_percentile,q
control-ABC,molybdate,ABC-subunit,multi-subunit,1,ax d31,rnaseq,axenic,day 31,0.7289080314162655,0.6164383561643835
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,ax d31,rnaseq,axenic,day 31,0.15353432987078794,0.8972102789721028
control-ABC,phosphonate,ABC-subunit,single-gene,1,ax d31,rnaseq,axenic,day 31,0.11223714213326577,0.8972102789721028
control-ABC,trk/ktr system potassium,secondary-carrier-inorganic,single-gene,2,ax d31,rnaseq,axenic,day 31,0.7228274638966303,0.8972102789721028
control-ABC,solute:Na+,SSS,single-gene,3,ax d31,rnaseq,axenic,day 31,0.9465416772232075,0.6164383561643835
control-ABC,NRAMP family divalent metal,secondary-carrier-inorganic,single-gene,1,ax d31,rnaseq,axenic,day 31,0.6442868001013428,0.8333166683331666
control-ABC,serine/threonine,APC,single-gene,1,ax d31,rnaseq,axenic,day 31,0.9551558145426906,0.5844915508449156
control-ABC,neurotransmitter:Na+,SSS,single-gene,2,ax d31,rnaseq,axenic,day 31,0.4945528249303268,0.8972102789721028
control-ABC,bile acid:Na+,SSS,single-gene,1,ax d31,rnaseq,axenic,day 31,0.27919939194324805,0.8972102789721028
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,ax d31,rnaseq,axenic,day 31,0.745882949075247,0.6968003199680032
control-TonB,outer-membrane,other,single-gene,1,ax d31,rnaseq,axenic,day 31,0.12591841905244489,0.8972102789721028
control-TonB,TonB-dependent,other,single-gene,12,ax d31,rnaseq,axenic,day 31,0.99366607550038,0.5844915508449156
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,ax d31,rnaseq,axenic,day 31,0.9923992906004561,0.5844915508449156
control-TonB,outer membrane,other,single-gene,1,ax d31,rnaseq,axenic,day 31,0.17506967316949582,0.8972102789721028
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,17,ax d31,rnaseq,axenic,day 31,0.9946795034203192,0.5844915508449156
ambiguous-TonB,periplasmic protein TonB,other,single-gene,4,ax d31,rnaseq,axenic,day 31,0.8776285786673423,0.8446001553690785
ambiguous-TonB,outer membrane,exporter,single-gene,1,ax d31,rnaseq,axenic,day 31,0.41626551811502405,0.8972102789721028
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,14,ax d31,rnaseq,axenic,day 31,0.9450215353432987,0.8972102789721028
ambiguous-TonB,catecholate siderophore,other,single-gene,2,ax d31,rnaseq,axenic,day 31,0.320749936660755,0.8972102789721028
ambiguous-TonB,energy transducer TonB,other,single-gene,1,ax d31,rnaseq,axenic,day 31,0.8264504687104129,0.6164383561643835
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,ax d31,rnaseq,axenic,day 31,0.10463643273372182,0.8972102789721028
control-ABC,iron(III),ABC-subunit,multi-subunit,1,ax d60+89,rnaseq,axenic,days 60+89,0.32733721814035976,0.8109989001099891
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,ax d60+89,rnaseq,axenic,days 60+89,0.9972130732201672,0.0026997300269973002
control-ABC,phosphate,ABC-subunit,multi-subunit,1,ax d60+89,rnaseq,axenic,days 60+89,0.7121864707372688,0.5075492450754925
control-ABC,sodium,ABC-subunit,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.5728401317456296,0.7787821217878211
control-ABC,iron complex,ABC-subunit,multi-subunit,3,ax d60+89,rnaseq,axenic,days 60+89,0.6561945781606284,0.8109989001099891
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,ax d60+89,rnaseq,axenic,days 60+89,0.8274638966303521,0.4009099090090991
control-ABC,molybdate,ABC-subunit,multi-subunit,1,ax d60+89,rnaseq,axenic,days 60+89,0.7276412465163415,0.5075492450754925
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.27058525462376487,0.8109989001099891
control-ABC,phosphonate,ABC-subunit,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.07980744869521156,0.9229077092290771
control-ABC,trk/ktr system potassium,secondary-carrier-inorganic,single-gene,2,ax d60+89,rnaseq,axenic,days 60+89,0.6757030656194578,0.8109989001099891
control-ABC,solute:Na+,SSS,single-gene,3,ax d60+89,rnaseq,axenic,days 60+89,0.968583734481885,0.4009099090090991
control-ABC,NRAMP family divalent metal,secondary-carrier-inorganic,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.30909551558145426,0.8109989001099891
control-ABC,serine/threonine,APC,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.8147960476311122,0.5075492450754925
control-ABC,neurotransmitter:Na+,SSS,single-gene,2,ax d60+89,rnaseq,axenic,days 60+89,0.649100582721054,0.8109989001099891
control-ABC,bile acid:Na+,SSS,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.36863440587788193,0.8109989001099891
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.7352419559158855,0.5200837059151228
control-TonB,outer-membrane,other,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.5013934633899164,0.8109989001099891
control-TonB,TonB-dependent,other,single-gene,12,ax d60+89,rnaseq,axenic,days 60+89,0.9855586521408665,0.5075492450754925
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,ax d60+89,rnaseq,axenic,days 60+89,0.9898657208006081,0.4574114017169712
control-TonB,outer membrane,other,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.7582974410945021,0.5200837059151228
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,17,ax d60+89,rnaseq,axenic,days 60+89,0.9832784393210033,0.5200837059151228
ambiguous-TonB,periplasmic protein TonB,other,single-gene,4,ax d60+89,rnaseq,axenic,days 60+89,0.9850519381808969,0.4009099090090991
ambiguous-TonB,outer membrane,exporter,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.4071446668355713,0.8109989001099891
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,14,ax d60+89,rnaseq,axenic,days 60+89,0.997466430200152,0.4009099090090991
ambiguous-TonB,catecholate siderophore,other,single-gene,2,ax d60+89,rnaseq,axenic,days 60+89,0.5538383582467697,0.8109989001099891
ambiguous-TonB,energy transducer TonB,other,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.9394476817836331,0.4009099090090991
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,ax d60+89,rnaseq,axenic,days 60+89,0.16873574866987587,0.8611100428418695
control-ABC,iron(III),ABC-subunit,multi-subunit,1,P co d18,proteomics,coculture,day 18,0.7173033707865168,0.3246246803891039
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,P co d18,proteomics,coculture,day 18,0.1150561797752809,0.9743925607439257
control-ABC,phosphate,ABC-subunit,multi-subunit,1,P co d18,proteomics,coculture,day 18,0.02202247191011236,0.9978002199780022
control-ABC,sodium,ABC-subunit,single-gene,1,P co d18,proteomics,coculture,day 18,0.7946067415730337,0.3246246803891039
control-ABC,iron complex,ABC-subunit,single-gene,2,P co d18,proteomics,coculture,day 18,0.8876404494382022,0.3246246803891039
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,P co d18,proteomics,coculture,day 18,0.9752808988764045,0.31456854314568544
control-ABC,molybdate,ABC-subunit,multi-subunit,1,P co d18,proteomics,coculture,day 18,0.033707865168539325,0.9978002199780022
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,P co d18,proteomics,coculture,day 18,0.5680898876404494,0.5527917796455648
control-ABC,phosphonate,ABC-subunit,single-gene,1,P co d18,proteomics,coculture,day 18,0.17707865168539325,0.9534309726922043
control-ABC,solute:Na+,SSS,single-gene,1,P co d18,proteomics,coculture,day 18,0.8970786516853932,0.31456854314568544
control-ABC,neurotransmitter:Na+,SSS,single-gene,1,P co d18,proteomics,coculture,day 18,0.7973033707865168,0.3246246803891039
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,P co d18,proteomics,coculture,day 18,0.8669662921348315,0.31456854314568544
control-TonB,outer-membrane,other,single-gene,1,P co d18,proteomics,coculture,day 18,0.8813483146067416,0.31456854314568544
control-TonB,TonB-dependent,other,single-gene,12,P co d18,proteomics,coculture,day 18,0.9887640449438202,0.31456854314568544
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,P co d18,proteomics,coculture,day 18,0.9910112359550561,0.31456854314568544
control-TonB,outer membrane,other,single-gene,1,P co d18,proteomics,coculture,day 18,0.9159550561797752,0.31456854314568544
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,16,P co d18,proteomics,coculture,day 18,0.9847191011235955,0.32776722327767227
ambiguous-TonB,periplasmic protein TonB,other,single-gene,2,P co d18,proteomics,coculture,day 18,0.45348314606741574,0.9534309726922043
ambiguous-TonB,outer membrane,exporter,single-gene,1,P co d18,proteomics,coculture,day 18,0.7887640449438202,0.3246246803891039
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,13,P co d18,proteomics,coculture,day 18,0.9977528089887641,0.31456854314568544
ambiguous-TonB,catecholate siderophore,other,single-gene,2,P co d18,proteomics,coculture,day 18,0.9613483146067415,0.31456854314568544
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,P co d18,proteomics,coculture,day 18,0.6984269662921349,0.40475952404759524
control-ABC,iron(III),ABC-subunit,multi-subunit,1,P co d31,proteomics,coculture,day 31,0.3955056179775281,0.8403159684031598
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,P co d31,proteomics,coculture,day 31,0.02696629213483146,0.9843015698430156
control-ABC,phosphate,ABC-subunit,multi-subunit,1,P co d31,proteomics,coculture,day 31,0.11595505617977528,0.9843015698430156
control-ABC,sodium,ABC-subunit,single-gene,1,P co d31,proteomics,coculture,day 31,0.8534831460674157,0.41355864413558646
control-ABC,iron complex,ABC-subunit,single-gene,2,P co d31,proteomics,coculture,day 31,0.7456179775280899,0.7411566535654127
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,P co d31,proteomics,coculture,day 31,0.8089887640449438,0.41355864413558646
control-ABC,molybdate,ABC-subunit,multi-subunit,1,P co d31,proteomics,coculture,day 31,0.6253932584269664,0.5191480851914808
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,P co d31,proteomics,coculture,day 31,0.37617977528089885,0.8403159684031598
control-ABC,phosphonate,ABC-subunit,single-gene,1,P co d31,proteomics,coculture,day 31,0.014831460674157304,0.9843015698430156
control-ABC,solute:Na+,SSS,single-gene,1,P co d31,proteomics,coculture,day 31,0.5038202247191012,0.7713371519990858
control-ABC,neurotransmitter:Na+,SSS,single-gene,1,P co d31,proteomics,coculture,day 31,0.22112359550561797,0.9492050794920508
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,P co d31,proteomics,coculture,day 31,0.8184269662921348,0.41355864413558646
control-TonB,outer-membrane,other,single-gene,1,P co d31,proteomics,coculture,day 31,0.8026966292134832,0.41355864413558646
control-TonB,TonB-dependent,other,single-gene,12,P co d31,proteomics,coculture,day 31,0.9968539325842697,0.41355864413558646
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,P co d31,proteomics,coculture,day 31,0.9937078651685394,0.41355864413558646
control-TonB,outer membrane,other,single-gene,1,P co d31,proteomics,coculture,day 31,0.8804494382022472,0.41355864413558646
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,16,P co d31,proteomics,coculture,day 31,0.9932584269662922,0.41355864413558646
ambiguous-TonB,periplasmic protein TonB,other,single-gene,2,P co d31,proteomics,coculture,day 31,0.2247191011235955,0.9843015698430156
ambiguous-TonB,outer membrane,exporter,single-gene,1,P co d31,proteomics,coculture,day 31,0.38741573033707866,0.8403159684031598
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,13,P co d31,proteomics,coculture,day 31,1.0,0.1055894410558944
ambiguous-TonB,catecholate siderophore,other,single-gene,2,P co d31,proteomics,coculture,day 31,0.9029213483146067,0.41355864413558646
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,P co d31,proteomics,coculture,day 31,0.7586516853932584,0.4647535246475352
control-ABC,iron(III),ABC-subunit,multi-subunit,1,P co d60,proteomics,coculture,day 60,0.6161797752808988,0.5073635493593498
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,P co d60,proteomics,coculture,day 60,0.027415730337078652,0.9892010798920108
control-ABC,phosphate,ABC-subunit,multi-subunit,1,P co d60,proteomics,coculture,day 60,0.010337078651685393,0.9892010798920108
control-ABC,sodium,ABC-subunit,single-gene,1,P co d60,proteomics,coculture,day 60,0.7739325842696629,0.42995700429957007
control-ABC,iron complex,ABC-subunit,multi-subunit,2,P co d60,proteomics,coculture,day 60,0.8175280898876405,0.5073635493593498
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,P co d60,proteomics,coculture,day 60,0.36269662921348317,0.7750558277505583
control-ABC,molybdate,ABC-subunit,multi-subunit,1,P co d60,proteomics,coculture,day 60,0.5986516853932584,0.5073635493593498
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,P co d60,proteomics,coculture,day 60,0.49303370786516854,0.6502290947375851
control-ABC,phosphonate,ABC-subunit,single-gene,1,P co d60,proteomics,coculture,day 60,0.012134831460674157,0.9892010798920108
control-ABC,solute:Na+,SSS,single-gene,1,P co d60,proteomics,coculture,day 60,0.8229213483146067,0.3697830216978302
control-ABC,neurotransmitter:Na+,SSS,single-gene,1,P co d60,proteomics,coculture,day 60,0.5096629213483146,0.6502290947375851
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,P co d60,proteomics,coculture,day 60,0.8435955056179776,0.36320812363208127
control-TonB,outer-membrane,other,single-gene,1,P co d60,proteomics,coculture,day 60,0.9649438202247191,0.27057294270572946
control-TonB,TonB-dependent,other,single-gene,12,P co d60,proteomics,coculture,day 60,0.9973033707865169,0.27057294270572946
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,P co d60,proteomics,coculture,day 60,0.9937078651685394,0.29403726294037263
control-TonB,outer membrane,other,single-gene,1,P co d60,proteomics,coculture,day 60,0.9379775280898877,0.29403726294037263
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,16,P co d60,proteomics,coculture,day 60,0.9919101123595505,0.34674032596740323
ambiguous-TonB,periplasmic protein TonB,other,single-gene,2,P co d60,proteomics,coculture,day 60,0.329438202247191,0.9892010798920108
ambiguous-TonB,outer membrane,exporter,single-gene,1,P co d60,proteomics,coculture,day 60,0.52,0.6502290947375851
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,13,P co d60,proteomics,coculture,day 60,1.0,0.1055894410558944
ambiguous-TonB,catecholate siderophore,other,single-gene,2,P co d60,proteomics,coculture,day 60,0.9591011235955056,0.29403726294037263
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,P co d60,proteomics,coculture,day 60,0.8934831460674157,0.3186538489008242
control-ABC,iron(III),ABC-subunit,multi-subunit,1,P co d89,proteomics,coculture,day 89,0.2817977528089888,0.9291176145543342
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,P co d89,proteomics,coculture,day 89,0.4287640449438202,0.7781721827817217
control-ABC,phosphate,ABC-subunit,multi-subunit,1,P co d89,proteomics,coculture,day 89,0.012584269662921348,0.9875012498750126
control-ABC,sodium,ABC-subunit,single-gene,1,P co d89,proteomics,coculture,day 89,0.7442696629213483,0.6083613860836139
control-ABC,iron complex,ABC-subunit,single-gene,2,P co d89,proteomics,coculture,day 89,0.6247191011235955,0.7815689019333361
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,P co d89,proteomics,coculture,day 89,0.5164044943820225,0.7520105132343909
control-ABC,molybdate,ABC-subunit,multi-subunit,1,P co d89,proteomics,coculture,day 89,0.5244943820224719,0.7520105132343909
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,P co d89,proteomics,coculture,day 89,0.5892134831460674,0.741875812418758
control-ABC,phosphonate,ABC-subunit,single-gene,1,P co d89,proteomics,coculture,day 89,0.014382022471910113,0.9875012498750126
control-ABC,solute:Na+,SSS,single-gene,1,P co d89,proteomics,coculture,day 89,0.2543820224719101,0.9075314690753147
control-ABC,neurotransmitter:Na+,SSS,single-gene,1,P co d89,proteomics,coculture,day 89,0.45617977528089887,0.7781721827817217
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,P co d89,proteomics,coculture,day 89,0.6485393258426966,0.741875812418758
control-TonB,outer-membrane,other,single-gene,1,P co d89,proteomics,coculture,day 89,0.9712359550561798,0.22877712228777125
control-TonB,TonB-dependent,other,single-gene,12,P co d89,proteomics,coculture,day 89,0.9977528089887641,0.22877712228777125
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,P co d89,proteomics,coculture,day 89,0.9964044943820225,0.24461553844615538
control-TonB,outer membrane,other,single-gene,1,P co d89,proteomics,coculture,day 89,0.9280898876404494,0.245642102456421
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,16,P co d89,proteomics,coculture,day 89,0.9968539325842697,0.24461553844615538
ambiguous-TonB,periplasmic protein TonB,other,single-gene,2,P co d89,proteomics,coculture,day 89,0.19191011235955055,0.9875012498750126
ambiguous-TonB,outer membrane,exporter,single-gene,1,P co d89,proteomics,coculture,day 89,0.6143820224719101,0.741875812418758
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,13,P co d89,proteomics,coculture,day 89,1.0,0.1055894410558944
ambiguous-TonB,catecholate siderophore,other,single-gene,2,P co d89,proteomics,coculture,day 89,0.9478651685393259,0.2755224477552245
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,P co d89,proteomics,coculture,day 89,0.9101123595505618,0.2652306197951633
control-ABC,iron(III),ABC-subunit,multi-subunit,1,P co d60+89,proteomics,coculture,days 60+89,0.45303370786516856,0.6906087169060872
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,P co d60+89,proteomics,coculture,days 60+89,0.11865168539325843,0.9914008599140086
control-ABC,phosphate,ABC-subunit,multi-subunit,1,P co d60+89,proteomics,coculture,days 60+89,0.008089887640449439,0.9914008599140086
control-ABC,sodium,ABC-subunit,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.7604494382022472,0.5066093390660934
control-ABC,iron complex,ABC-subunit,multi-subunit,2,P co d60+89,proteomics,coculture,days 60+89,0.7186516853932584,0.6906087169060872
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,P co d60+89,proteomics,coculture,days 60+89,0.43640449438202245,0.6906087169060872
control-ABC,molybdate,ABC-subunit,multi-subunit,1,P co d60+89,proteomics,coculture,days 60+89,0.5676404494382022,0.6906087169060872
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.5433707865168539,0.6906087169060872
control-ABC,phosphonate,ABC-subunit,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.009887640449438202,0.9914008599140086
control-ABC,solute:Na+,SSS,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.5752808988764045,0.6906087169060872
control-ABC,neurotransmitter:Na+,SSS,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.48269662921348316,0.6906087169060872
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.7662921348314606,0.5066093390660934
control-TonB,outer-membrane,other,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.9707865168539326,0.1957804219578042
control-TonB,TonB-dependent,other,single-gene,12,P co d60+89,proteomics,coculture,days 60+89,0.9982022471910112,0.1957804219578042
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,P co d60+89,proteomics,coculture,days 60+89,0.9950561797752809,0.25682431756824314
control-TonB,outer membrane,other,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.9361797752808989,0.25682431756824314
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,16,P co d60+89,proteomics,coculture,days 60+89,0.9941573033707866,0.25682431756824314
ambiguous-TonB,periplasmic protein TonB,other,single-gene,2,P co d60+89,proteomics,coculture,days 60+89,0.2503370786516854,0.9914008599140086
ambiguous-TonB,outer membrane,exporter,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.5689887640449438,0.6906087169060872
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,13,P co d60+89,proteomics,coculture,days 60+89,1.0,0.1055894410558944
ambiguous-TonB,catecholate siderophore,other,single-gene,2,P co d60+89,proteomics,coculture,days 60+89,0.9555056179775281,0.25682431756824314
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,P co d60+89,proteomics,coculture,days 60+89,0.9069662921348315,0.25682431756824314
control-ABC,iron(III),ABC-subunit,multi-subunit,1,P ax d18,proteomics,axenic,day 18,0.5456179775280899,0.4996973986811845
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,P ax d18,proteomics,axenic,day 18,0.27146067415730335,0.7973102689731026
control-ABC,phosphate,ABC-subunit,multi-subunit,1,P ax d18,proteomics,axenic,day 18,0.863370786516854,0.297477944513241
control-ABC,sodium,ABC-subunit,single-gene,1,P ax d18,proteomics,axenic,day 18,0.08808988764044944,0.9082091790820918
control-ABC,iron complex,ABC-subunit,multi-subunit,2,P ax d18,proteomics,axenic,day 18,0.7492134831460674,0.4996973986811845
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,P ax d18,proteomics,axenic,day 18,0.8768539325842697,0.297477944513241
control-ABC,molybdate,ABC-subunit,multi-subunit,1,P ax d18,proteomics,axenic,day 18,0.6449438202247191,0.37058960770589605
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,P ax d18,proteomics,axenic,day 18,0.8548314606741573,0.297477944513241
control-ABC,phosphonate,ABC-subunit,single-gene,1,P ax d18,proteomics,axenic,day 18,0.8179775280898877,0.297477944513241
control-ABC,solute:Na+,SSS,single-gene,1,P ax d18,proteomics,axenic,day 18,0.8449438202247191,0.297477944513241
control-ABC,neurotransmitter:Na+,SSS,single-gene,1,P ax d18,proteomics,axenic,day 18,0.8741573033707866,0.297477944513241
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,P ax d18,proteomics,axenic,day 18,0.9442696629213483,0.297477944513241
control-TonB,outer-membrane,other,single-gene,1,P ax d18,proteomics,axenic,day 18,0.8930337078651686,0.297477944513241
control-TonB,TonB-dependent,other,single-gene,12,P ax d18,proteomics,axenic,day 18,0.9820224719101124,0.3089119659462626
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,P ax d18,proteomics,axenic,day 18,0.9676404494382023,0.4171818112306416
control-TonB,outer membrane,other,single-gene,1,P ax d18,proteomics,axenic,day 18,0.9191011235955057,0.297477944513241
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,16,P ax d18,proteomics,axenic,day 18,0.988314606741573,0.297477944513241
ambiguous-TonB,periplasmic protein TonB,other,single-gene,2,P ax d18,proteomics,axenic,day 18,0.38247191011235954,0.8900728974721576
ambiguous-TonB,outer membrane,exporter,single-gene,1,P ax d18,proteomics,axenic,day 18,0.9838202247191011,0.297477944513241
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,13,P ax d18,proteomics,axenic,day 18,0.9725842696629213,0.4141085891410859
ambiguous-TonB,catecholate siderophore,other,single-gene,2,P ax d18,proteomics,axenic,day 18,0.9635955056179776,0.297477944513241
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,P ax d18,proteomics,axenic,day 18,0.8278651685393258,0.297477944513241
control-ABC,iron(III),ABC-subunit,multi-subunit,1,P ax d31,proteomics,axenic,day 31,0.4997752808988764,0.5736794741578474
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,P ax d31,proteomics,axenic,day 31,0.4993258426966292,0.5736794741578474
control-ABC,phosphate,ABC-subunit,multi-subunit,1,P ax d31,proteomics,axenic,day 31,0.8184269662921348,0.2554677865546779
control-ABC,sodium,ABC-subunit,single-gene,1,P ax d31,proteomics,axenic,day 31,0.3586516853932584,0.7022797720227978
control-ABC,iron complex,ABC-subunit,single-gene,2,P ax d31,proteomics,axenic,day 31,0.8453932584269663,0.38193680631936805
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,P ax d31,proteomics,axenic,day 31,0.8741573033707866,0.2047487558936414
control-ABC,molybdate,ABC-subunit,multi-subunit,1,P ax d31,proteomics,axenic,day 31,0.889438202247191,0.11250303541074465
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,P ax d31,proteomics,axenic,day 31,0.5568539325842696,0.5683196386243728
control-ABC,phosphonate,ABC-subunit,single-gene,1,P ax d31,proteomics,axenic,day 31,0.2696629213483146,0.7610191361816199
control-ABC,solute:Na+,SSS,single-gene,1,P ax d31,proteomics,axenic,day 31,0.8161797752808989,0.2554677865546779
control-ABC,neurotransmitter:Na+,SSS,single-gene,1,P ax d31,proteomics,axenic,day 31,0.9114606741573034,0.1655834416558344
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,P ax d31,proteomics,axenic,day 31,0.9303370786516854,0.14716528347165284
control-TonB,outer-membrane,other,single-gene,1,P ax d31,proteomics,axenic,day 31,0.976629213483146,0.11250303541074465
control-TonB,TonB-dependent,other,single-gene,12,P ax d31,proteomics,axenic,day 31,0.9946067415730337,0.14716528347165284
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,P ax d31,proteomics,axenic,day 31,0.9959550561797753,0.14106089391060894
control-TonB,outer membrane,other,single-gene,1,P ax d31,proteomics,axenic,day 31,0.9640449438202248,0.11250303541074465
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,16,P ax d31,proteomics,axenic,day 31,0.9991011235955056,0.11250303541074465
ambiguous-TonB,periplasmic protein TonB,other,single-gene,2,P ax d31,proteomics,axenic,day 31,0.37617977528089885,0.8548145185481452
ambiguous-TonB,outer membrane,exporter,single-gene,1,P ax d31,proteomics,axenic,day 31,0.9689887640449438,0.11250303541074465
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,13,P ax d31,proteomics,axenic,day 31,0.9914606741573033,0.1988967769889678
ambiguous-TonB,catecholate siderophore,other,single-gene,2,P ax d31,proteomics,axenic,day 31,0.988314606741573,0.11250303541074465
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,P ax d31,proteomics,axenic,day 31,0.9622471910112359,0.11250303541074465
