locus_tag,log2fc,expression_status,timepoint
ACZ81_01825,4.263486858396482,significant_up,day 89
ACZ81_03165,4.2426804502309166,significant_up,day 89
ACZ81_11640,4.226526515793623,significant_up,day 18
ACZ81_11250,-4.224617946335703,significant_down,day 60
ACZ81_03380,4.20356355948583,significant_up,day 18
ACZ81_RS20790,4.196234633174996,significant_up,day 60
ACZ81_04980,-4.178903366315406,significant_down,days 60+89
ACZ81_02865,-4.174564557973601,significant_down,day 31
ACZ81_RS21535,-4.161025862108043,significant_down,day 60
ACZ81_08485,4.156948425839043,significant_up,day 60
ACZ81_08480,4.154791366518201,significant_up,day 60
ACZ81_16850,4.151481781573293,significant_up,days 60+89
ACZ81_02865,-4.15121201919116,significant_down,day 89
ACZ81_05080,-4.133889731295289,significant_down,day 60
ACZ81_11420,-4.133860298301749,significant_down,day 31
ACZ81_03035,-4.132662942893951,significant_down,day 31
ACZ81_16390,-4.12895461649485,significant_down,day 89
ACZ81_07385,4.087108050578794,significant_up,day 60
ACZ81_04975,-4.083103559944127,significant_down,day 31
ACZ81_16605,4.075097484569276,significant_up,day 89
ACZ81_11425,-4.057032487463823,significant_down,days 60+89
ACZ81_04270,-4.055438238987168,significant_down,day 60
ACZ81_11420,-4.052287950417636,significant_down,day 18
ACZ81_05070,-4.0385003370351855,significant_down,days 60+89
ACZ81_08840,-4.015836477981935,significant_down,day 31
ACZ81_RS20790,4.015171699613785,significant_up,days 60+89
ACZ81_16600,4.013608481447581,significant_up,day 89
ACZ81_12885,4.012260252071788,significant_up,day 89
ACZ81_17630,4.011613857591648,not_significant,day 60
ACZ81_08475,4.008767613159435,significant_up,day 60
ACZ81_03035,-3.999587295778797,significant_down,day 18
ACZ81_04980,-3.9786725774233713,significant_down,day 60
ACZ81_16605,3.9608466488148815,significant_up,days 60+89
ACZ81_16600,3.960235844056883,significant_up,days 60+89
ACZ81_16600,3.957342818711485,significant_up,day 31
ACZ81_16580,3.956077527406879,significant_up,day 31
ACZ81_11250,-3.9456488227431263,significant_down,days 60+89
ACZ81_07860,3.9408685278683455,significant_up,days 60+89
ACZ81_17630,3.9375191236581095,significant_up,days 60+89
ACZ81_08360,-3.935765184179534,significant_down,day 31
ACZ81_04490,-3.9355133709117713,significant_down,day 60
ACZ81_03965,-3.927028261291051,not_significant,day 31
ACZ81_16230,-3.9195540927116697,significant_down,day 89
ACZ81_10030,-3.91355105268013,significant_down,day 60
ACZ81_16600,3.9049038230395055,significant_up,day 60
ACZ81_19690,3.9046665870257744,significant_up,day 31
ACZ81_11425,-3.8985774413013696,significant_down,day 18
