substrate,genome_OGs,genome_tierA_OGs,captured_OGs,extruded_OGs
protein/peptide,151,103,3,3
nucleic acid,55,6,0,0
carbohydrate,52,36,0,0
organic phosphate,40,12,1,1
lipid/ester,33,18,0,0
amide/C-N,30,19,0,0
ester (other),20,5,0,0
sulfate ester,5,0,0,0
carbohydrate (ester),1,1,0,0
