gene_category,n_genes,pct
Translation,75,30.1
Energy production,46,18.5
Cell wall and membrane,37,14.9
Inorganic ion transport,18,7.2
Unknown,18,7.2
Amino acid metabolism,12,4.8
Post-translational modification,8,3.2
Carbohydrate metabolism,7,2.8
Intracellular trafficking,6,2.4
Lipid metabolism,5,2.0
Replication and repair,5,2.0
Nucleotide metabolism,5,2.0
Transcription,3,1.2
Coenzyme metabolism,3,1.2
Cell motility,1,0.4
