strain,n_genes,degradative,tierA_exported,exoenzyme_candidates,pct_candidates
AD45,3929,517,160,276,7.02
ATCC27126,3834,540,167,288,7.51
BGP6,4063,533,167,283,6.97
BS11,3741,454,140,245,6.55
EZ55,4136,540,164,288,6.96
HOT1A3,4028,523,156,276,6.85
MIT1002,4028,509,138,262,6.5
TOTAL,27759,3616,1092,1918,6.91
