locus_tag,strain,route,product,value,og_group_id,og_level,og_product
EZ55_03078,Alteromonas macleodii EZ55,secreted,glutathione synthase,3.0,eggnog:4651A@72275,Alteromonadaceae,glutathione synthase
EZ55_03280,Alteromonas macleodii EZ55,secreted,hypothetical protein,3.0,eggnog:1N51X@1224,Proteobacteria,adenosine deaminase
EZ55_03396,Alteromonas macleodii EZ55,secreted,TIGR04219 family outer membrane beta-barrel protein,3.0,eggnog:4660B@72275,Alteromonadaceae,TIGR04219 family outer membrane beta-barrel protein
EZ55_03754,Alteromonas macleodii EZ55,secreted,carbon-nitrogen hydrolase,3.0,eggnog:465G5@72275,Alteromonadaceae,carbon-nitrogen hydrolase
EZ55_03886,Alteromonas macleodii EZ55,secreted,OmpP1/FadL family transporter,3.0,eggnog:465E0@72275,Alteromonadaceae,OmpP1/FadL family transporter
EZ55_04077,Alteromonas macleodii EZ55,secreted,M1 family aminopeptidase,3.0,eggnog:4666I@72275,Alteromonadaceae,M1 family aminopeptidase
EZ55_00182,Alteromonas macleodii EZ55,secreted,ribonuclease E activity regulator RraA,2.0,eggnog:466UJ@72275,Alteromonadaceae,ribonuclease E activity regulator RraA
EZ55_00188,Alteromonas macleodii EZ55,secreted,inorganic diphosphatase,2.0,eggnog:4647K@72275,Alteromonadaceae,inorganic diphosphatase
EZ55_00359,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L3,2.0,eggnog:465E3@72275,Alteromonadaceae,50S ribosomal protein L3
EZ55_00360,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L4,2.0,eggnog:464IZ@72275,Alteromonadaceae,50S ribosomal protein L4
EZ55_00362,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L2,2.0,eggnog:464EJ@72275,Alteromonadaceae,50S ribosomal protein L2
EZ55_00363,Alteromonas macleodii EZ55,secreted,30S ribosomal protein S19,2.0,eggnog:4677X@72275,Alteromonadaceae,30S ribosomal protein S19
EZ55_00364,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L22,2.0,eggnog:467D4@72275,Alteromonadaceae,50S ribosomal protein L22
EZ55_00367,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L29,2.0,eggnog:468D6@72275,Alteromonadaceae,50S ribosomal protein L29
EZ55_00368,Alteromonas macleodii EZ55,secreted,30S ribosomal protein S17,2.0,eggnog:467RN@72275,Alteromonadaceae,30S ribosomal protein S17
EZ55_00591,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L21,2.0,eggnog:467GE@72275,Alteromonadaceae,50S ribosomal protein L21
EZ55_00790,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L13,2.0,eggnog:466GF@72275,Alteromonadaceae,50S ribosomal protein L13
EZ55_01264,Alteromonas macleodii EZ55,secreted,adenylyl-sulfate kinase,2.0,eggnog:465TQ@72275,Alteromonadaceae,adenylyl-sulfate kinase
EZ55_01303,Alteromonas macleodii EZ55,secreted,30S ribosomal protein S16,2.0,eggnog:467U2@72275,Alteromonadaceae,30S ribosomal protein S16
EZ55_01306,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L19,2.0,eggnog:466X0@72275,Alteromonadaceae,50S ribosomal protein L19
EZ55_01628,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L20,2.0,eggnog:466ZJ@72275,Alteromonadaceae,50S ribosomal protein L20
EZ55_01751,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L32,2.0,eggnog:468BN@72275,Alteromonadaceae,50S ribosomal protein L32
EZ55_01912,Alteromonas macleodii EZ55,secreted,ribosome assembly RNA-binding protein YhbY,2.0,eggnog:467Y2@72275,Alteromonadaceae,ribosome assembly RNA-binding protein YhbY
EZ55_02569,Alteromonas macleodii EZ55,secreted,phasin-related domain-containing protein,2.0,eggnog:46978@72275,Alteromonadaceae,phasin-related domain-containing protein
EZ55_02730,Alteromonas macleodii EZ55,secreted,nucleoid-associated protein HU-beta,2.0,eggnog:467ZY@72275,Alteromonadaceae,nucleoid-associated protein HU-beta
EZ55_02733,Alteromonas macleodii EZ55,secreted,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,2.0,eggnog:46400@72275,Alteromonadaceae,ATP-dependent Clp endopeptidase proteolytic subunit ClpP
EZ55_02884,Alteromonas macleodii EZ55,secreted,hypothetical protein,2.0,eggnog:46CA4@72275,Alteromonadaceae,hypothetical protein
EZ55_03573,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L17,2.0,eggnog:466UW@72275,Alteromonadaceae,50S ribosomal protein L17
EZ55_03575,Alteromonas macleodii EZ55,secreted,30S ribosomal protein S4,2.0,eggnog:464TW@72275,Alteromonadaceae,30S ribosomal protein S4
EZ55_03586,Alteromonas macleodii EZ55,secreted,30S ribosomal protein S8,2.0,eggnog:46724@72275,Alteromonadaceae,30S ribosomal protein S8
EZ55_03588,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L5,2.0,eggnog:464A7@72275,Alteromonadaceae,50S ribosomal protein L5
EZ55_03589,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L24,2.0,eggnog:467RK@72275,Alteromonadaceae,50S ribosomal protein L24
EZ55_03590,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L14,2.0,eggnog:466RM@72275,Alteromonadaceae,50S ribosomal protein L14
EZ55_03781,Alteromonas macleodii EZ55,secreted,RNA chaperone Hfq,2.0,eggnog:467WJ@72275,Alteromonadaceae,RNA chaperone Hfq
EZ55_04131,Alteromonas macleodii EZ55,secreted,50S ribosomal protein L34,2.0,eggnog:4690G@72275,Alteromonadaceae,50S ribosomal protein L34
EZ55_00033,Alteromonas macleodii EZ55,secreted,c-type cytochrome,1.0,eggnog:466NK@72275,Alteromonadaceae,c-type cytochrome
EZ55_00076,Alteromonas macleodii EZ55,secreted,YjbF family lipoprotein,1.0,eggnog:467X9@72275,Alteromonadaceae,YjbF family lipoprotein
