og_group_id,og_product,substrate,best_tier,n_strains,strains,n_genes,captured_in_extruded
eggnog:466VA@72275,flagellar assembly peptidoglycan hydrolase FlgJ,amide/C-N,A: degradative + exported,2,BGP6;EZ55,2,False
eggnog:1MVWU@1224,metal-dependent cyclase,amide/C-N,A: degradative + exported,1,BGP6,1,False
eggnog:1MWP2@1224,amidohydrolase,amide/C-N,A: degradative + exported,1,ATCC27126,1,False
eggnog:1RD3U@1224,glucosaminidase domain-containing protein,amide/C-N,"B: degradative, export uncertain",1,HOT1A3,1,False
eggnog:465AG@72275,amidase,amide/C-N,A: degradative + exported,1,BS11,1,False
eggnog:465DK@72275,N-acetylglucosamine-6-phosphate deacetylase,amide/C-N,"B: degradative, export uncertain",1,BS11,1,False
eggnog:466SW@72275,type 1 glutamine amidotransferase domain-containing protein,amide/C-N,A: degradative + exported,1,AD45,1,False
eggnog:469VA@72275,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,amide/C-N,A: degradative + exported,1,AD45,1,False
eggnog:COG2247@2,VCBS repeat-containing protein,amide/C-N,A: degradative + exported,1,ATCC27126,2,False
eggnog:1NQYT@1224,5^-methylthioadenosine/S-adenosylhomocysteine nucleosidase,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:463ZT@72275,glycoside hydrolase family 16 protein,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4642X@72275,sugar phosphorylase,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4644J@72275,glycoside hydrolase family 28 protein,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,13,False
eggnog:46462@72275,UDP-forming cellulose synthase catalytic subunit,carbohydrate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,8,False
eggnog:464NU@72275,lytic murein transglycosylase,carbohydrate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4654R@72275,beta-galactosidase,carbohydrate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4657M@72275,transglycosylase SLT domain-containing protein,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465BV@72275,glycoside hydrolase family 3 protein,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,11,False
eggnog:465FT@72275,lytic murein transglycosylase,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465UA@72275,TIM-barrel domain-containing protein,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465VT@72275,pectinesterase family protein,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4660R@72275,glycoside hydrolase family 88/105 protein,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46654@72275,alpha-amylase family protein,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:466DD@72275,DNA-3-methyladenine glycosylase I,carbohydrate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467S6@72275,isoamylase early set domain-containing protein,carbohydrate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:469J1@72275,5^-methylthioadenosine/S-adenosylhomocysteine nucleosidase family protein,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46CUC@72275,glycosyl hydrolase family 8,carbohydrate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46534@72275,amylosucrase,carbohydrate,A: degradative + exported,6,AD45;ATCC27126;BGP6;BS11;HOT1A3;MIT1002,6,False
eggnog:465CR@72275,pectinesterase family protein,carbohydrate,A: degradative + exported,6,ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,6,False
eggnog:465G4@72275,glycoside hydrolase family 3 N-terminal domain-containing protein,carbohydrate,A: degradative + exported,6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:465K7@72275,family 20 glycosylhydrolase,carbohydrate,A: degradative + exported,6,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3,6,False
eggnog:465TX@72275,glycoside hydrolase family 97 protein,carbohydrate,A: degradative + exported,6,ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,6,False
eggnog:4679Q@72275,glycoside hydrolase family 31 protein,carbohydrate,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:467Z0@72275,H-type lectin domain-containing protein,carbohydrate,A: degradative + exported,6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:468F2@72275,pectin acetylesterase-family hydrolase,carbohydrate,A: degradative + exported,6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,7,False
eggnog:1RE0A@1224,DNA-3-methyladenine glycosylase,carbohydrate,"B: degradative, export uncertain",5,ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:464G5@72275,glycosyl hydrolase 115 family protein,carbohydrate,A: degradative + exported,4,ATCC27126;BGP6;BS11;EZ55,4,False
eggnog:464NJ@72275,"endo-1,4-beta-xylanase",carbohydrate,A: degradative + exported,4,ATCC27126;BGP6;BS11;EZ55,4,False
eggnog:465P4@72275,alpha-N-arabinofuranosidase,carbohydrate,A: degradative + exported,4,ATCC27126;BGP6;BS11;EZ55,5,False
