og_group_id,og_product,substrate,best_tier,n_strains,strains,n_genes,captured_in_extruded
eggnog:1N1T4@1224,"putative toxin-antitoxin system toxin component, PIN family",nucleic acid,"B: degradative, export uncertain",1,AD45,1,False
eggnog:1N4VH@1224,MvaI/BcnI family restriction endonuclease,nucleic acid,"B: degradative, export uncertain",1,BGP6,1,False
eggnog:1N99F@1224,TnsA endonuclease N-terminal domain-containing protein,nucleic acid,"B: degradative, export uncertain",1,EZ55,1,False
eggnog:1NFDW@1224,restriction endonuclease subunit S,nucleic acid,"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:1NGTF@1224,PDDEXK-like family protein,nucleic acid,"B: degradative, export uncertain",1,BGP6,1,False
eggnog:1R5E5@1224,SEC-C metal-binding domain-containing protein,nucleic acid,"B: degradative, export uncertain",1,BGP6,1,False
eggnog:1R7R9@1224,GIY-YIG nuclease family protein,nucleic acid,"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:1RCZ1@1224,ribonuclease HI,nucleic acid,"B: degradative, export uncertain",1,BGP6,1,False
eggnog:1RH1C@1224,very short patch repair endonuclease,nucleic acid,"B: degradative, export uncertain",1,BGP6,1,False
eggnog:465Y9@72275,DUF2357 domain-containing protein,nucleic acid,"B: degradative, export uncertain",1,BS11,1,False
eggnog:467PT@72275,type II toxin-antitoxin system VapC family toxin,nucleic acid,"B: degradative, export uncertain",1,AD45,1,False
eggnog:468HU@72275,ankyrin repeat domain-containing protein,nucleic acid,A: degradative + exported,1,BGP6,1,False
eggnog:468PZ@72275,very short patch repair endonuclease,nucleic acid,"B: degradative, export uncertain",1,BS11,1,False
eggnog:46BHY@72275,BrnT family toxin,nucleic acid,"B: degradative, export uncertain",1,BS11,1,False
eggnog:46C7D@72275,type II toxin-antitoxin system RelE family toxin,nucleic acid,"B: degradative, export uncertain",1,EZ55,1,False
eggnog:COG0210@2,DNA-dependent ATPase I and helicase II,nucleic acid,"B: degradative, export uncertain",1,HOT1A3,1,False
eggnog:COG1479@2,DUF262 domain-containing protein,nucleic acid,"B: degradative, export uncertain",1,EZ55,1,False
eggnog:COG1715@2,restriction endonuclease,nucleic acid,"B: degradative, export uncertain",1,ATCC27126,1,False
eggnog:COG2200@2,EAL domain-containing protein,nucleic acid,"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:COG4223@2,S-layer homology domain-containing protein,nucleic acid,"B: degradative, export uncertain",1,AD45,1,False
eggnog:1QUAD@1224,ATP-binding protein,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:1RGHM@1224,chemotaxis protein CheX,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,8,False
eggnog:463Z6@72275,class 1 fructose-bisphosphatase,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:463ZJ@72275,diacylglycerol kinase family protein,organic phosphate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4640Q@72275,two-component system sensor histidine kinase EnvZ,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46416@72275,nitrogen regulation protein NR(II),organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46460@72275,alkaline phosphatase,organic phosphate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4653U@72275,ATP-binding protein,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46571@72275,phytase,organic phosphate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465CF@72275,putative bifunctional diguanylate cyclase/phosphodiesterase,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465EB@72275,phosphate regulon sensor histidine kinase PhoR,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4661S@72275,alkaline phosphatase PhoX,organic phosphate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,True
eggnog:466B3@72275,alkaline phosphatase PhoX,organic phosphate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46708@72275,alkaline phosphatase family protein,organic phosphate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467H1@72275,phosphatidylglycerophosphatase A family protein,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467RB@72275,phosphohistidine phosphatase SixA,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467SN@72275,metalloregulator ArsR/SmtB family transcription factor,organic phosphate,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46APK@72275,"5^-nucleotidase, lipoprotein e(P4) family",organic phosphate,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:1N8WK@1224,putative bifunctional diguanylate cyclase/phosphodiesterase,organic phosphate,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:1RHB0@1224,phosphatase PAP2 family protein,organic phosphate,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:465KN@72275,putative bifunctional diguanylate cyclase/phosphodiesterase,organic phosphate,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:46901@72275,protein-tyrosine phosphatase family protein,organic phosphate,A: degradative + exported,6,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3,6,False
eggnog:46A6Q@72275,putative bifunctional diguanylate cyclase/phosphodiesterase,organic phosphate,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:46A9Z@72275,putative bifunctional diguanylate cyclase/phosphodiesterase,organic phosphate,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:464NF@72275,putative bifunctional diguanylate cyclase/phosphodiesterase,organic phosphate,"B: degradative, export uncertain",5,ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,5,False
eggnog:4655H@72275,PAS domain S-box protein,organic phosphate,"B: degradative, export uncertain",5,AD45;ATCC27126;BGP6;BS11;EZ55,6,False
eggnog:COG0546@2,HAD family hydrolase,organic phosphate,"B: degradative, export uncertain",5,AD45;ATCC27126;BGP6;EZ55;HOT1A3,6,False
eggnog:COG5083@2,LNS2 domain-containing protein,organic phosphate,A: degradative + exported,4,AD45;BGP6;EZ55;MIT1002,4,False
eggnog:4643S@72275,putative bifunctional diguanylate cyclase/phosphodiesterase,organic phosphate,"B: degradative, export uncertain",3,AD45;ATCC27126;HOT1A3,3,False
eggnog:464NH@72275,protein kinase domain-containing protein,organic phosphate,A: degradative + exported,3,ATCC27126;BS11;MIT1002,3,False
eggnog:467PS@72275,inosine/xanthosine triphosphatase,organic phosphate,"B: degradative, export uncertain",3,AD45;ATCC27126;BS11,3,False
eggnog:COG0671@2,phosphatase PAP2 family protein,organic phosphate,"B: degradative, export uncertain",2,AD45;MIT1002,2,False
eggnog:1N106@1224,serine/threonine protein phosphatase,organic phosphate,"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:1N5MC@1224,NAD(P)/FAD-dependent oxidoreductase,organic phosphate,"B: degradative, export uncertain",1,HOT1A3,1,False
eggnog:1R95G@1224,endonuclease/exonuclease/phosphatase family protein,organic phosphate,"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:1RI8I@1224,PP2C family serine/threonine-protein phosphatase,organic phosphate,"B: degradative, export uncertain",1,HOT1A3,1,False
eggnog:464H4@72275,bifunctional protein tyrosine phosphatase family protein/NAD(P)/FAD-dependent oxidoreductase,organic phosphate,A: degradative + exported,1,AD45,1,False
eggnog:46707@72275,EAL domain-containing protein,organic phosphate,"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:46AW5@72275,phosphoglycerate mutase family protein,organic phosphate,"B: degradative, export uncertain",1,BS11,1,False
eggnog:46CED@72275,GGDEF domain-containing protein,organic phosphate,A: degradative + exported,1,BGP6,1,False
eggnog:1MV6S@1224,C1 family peptidase,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:1RBII@1224,alpha/beta hydrolase family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:463ZC@72275,rhomboid family intramembrane serine protease GlpG,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4640S@72275,OapA family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46410@72275,penicillin-binding protein 1B,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46415@72275,signal peptide peptidase SppA,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4641E@72275,insulinase family protein,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46453@72275,sigma E protease regulator RseP,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4645J@72275,trypsin-like peptidase domain-containing protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46468@72275,alpha/beta hydrolase family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4646K@72275,carboxy terminal-processing peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4646M@72275,D-alanyl-D-alanine carboxypeptidase family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464B8@72275,signal peptidase I,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464BP@72275,M3 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464DA@72275,M13 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464ES@72275,DegQ family serine endoprotease,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,True
eggnog:464GW@72275,M61 family metallopeptidase,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464H8@72275,FtsH protease activity modulator HflK,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464I6@72275,peptidase domain-containing ABC transporter,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464IJ@72275,S9 family peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464J7@72275,gamma-glutamyltransferase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,14,False
eggnog:464KX@72275,penicillin-binding protein 2,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464MC@72275,M28 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464MR@72275,M16 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464N3@72275,protease SohB,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464N6@72275,prepilin peptidase,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464PM@72275,S8 family serine peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464T9@72275,ATP-dependent zinc metalloprotease FtsH,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464W2@72275,M1 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464YA@72275,S9 family peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464YC@72275,penicillin-binding protein 1A,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464ZW@72275,S9 family peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4650A@72275,peptidoglycan glycosyltransferase FtsI,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4653N@72275,M28 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4656G@72275,PA2778 family cysteine peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,8,False
eggnog:46595@72275,dipeptidyl-peptidase 3 family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465BJ@72275,amidohydrolase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465F6@72275,S8 family serine peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465FN@72275,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465IE@72275,M1 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465JS@72275,protease modulator HflC,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465N6@72275,alpha/beta hydrolase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,8,False
eggnog:465PD@72275,S46 family peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465QW@72275,M14 family zinc carboxypeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465S8@72275,M28 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465SN@72275,S9 family peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,14,False
eggnog:465U0@72275,M56 family metallopeptidase,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465UB@72275,M2 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465VU@72275,murein hydrolase activator EnvC family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465WS@72275,gamma-glutamyltransferase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465X9@72275,M20/M25/M40 family metallo-hydrolase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465XB@72275,S41 family peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465XU@72275,beta-barrel assembly-enhancing protease,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465Y3@72275,M23 family metallopeptidase,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465Y7@72275,dipeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46621@72275,prolyl oligopeptidase family serine peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46641@72275,M48 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46656@72275,gamma-glutamyltransferase family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4666I@72275,M1 family aminopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,True
eggnog:46676@72275,marine proteobacterial sortase target protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4667R@72275,M13 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46694@72275,M24 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:466A7@72275,serine hydrolase domain-containing protein,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:466FY@72275,M23 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:466TP@72275,peptidoglycan DD-metalloendopeptidase family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:466WH@72275,signal peptidase I,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:466XQ@72275,S1 family peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:466ZC@72275,alpha/beta hydrolase family protein,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:466ZN@72275,alpha/beta hydrolase family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4674J@72275,retropepsin-like aspartic protease family protein,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4679R@72275,M15 family metallopeptidase,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467DU@72275,rhombosortase,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467DX@72275,signal peptidase II,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467J8@72275,M23 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467M8@72275,retropepsin-like aspartic protease family protein,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467X1@72275,rhomboid family intramembrane serine protease,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467ZM@72275,class GN sortase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:468B3@72275,alpha/beta hydrolase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:468JP@72275,M24 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:468TS@72275,PepSY domain-containing protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:468YY@72275,S8 family serine peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,14,False
eggnog:468ZD@72275,S8 family serine peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4695J@72275,PepSY domain-containing protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46A1V@72275,M16 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46A34@72275,M28 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46A42@72275,alpha/beta fold hydrolase,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46ABX@72275,M16 family metallopeptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46ACR@72275,energy transducer TonB,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46AGT@72275,S8 family serine peptidase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46B4A@72275,insulinase family protein,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46B7K@72275,retropepsin-like aspartic protease,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46CTI@72275,SOS response-associated peptidase family protein,protein/peptide,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46D60@72275,extracellular catalytic domain type 2 short-chain-length polyhydroxyalkanoate depolymerase,protein/peptide,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:1R7I0@1224,S41 family peptidase,protein/peptide,A: degradative + exported,6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:1REVH@1224,leishmanolysin-related zinc metalloendopeptidase,protein/peptide,A: degradative + exported,6,AD45;ATCC27126;BS11;EZ55;HOT1A3;MIT1002,6,False
eggnog:463YZ@72275,leucyl aminopeptidase,protein/peptide,"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;BS11;HOT1A3;MIT1002,6,False
eggnog:46492@72275,M14 family metallopeptidase,protein/peptide,"B: degradative, export uncertain",6,AD45;ATCC27126;BS11;EZ55;HOT1A3;MIT1002,6,False
eggnog:4659X@72275,TraB/GumN family protein,protein/peptide,A: degradative + exported,6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:465TF@72275,exosortase A,protein/peptide,"B: degradative, export uncertain",6,AD45;BGP6;BS11;EZ55;HOT1A3;MIT1002,6,False
eggnog:465VV@72275,S10 family peptidase,protein/peptide,A: degradative + exported,6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:46AEC@72275,alpha/beta hydrolase family protein,protein/peptide,A: degradative + exported,6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:46APX@72275,CPBP family intramembrane glutamic endopeptidase,protein/peptide,"B: degradative, export uncertain",6,AD45;BGP6;BS11;EZ55;HOT1A3;MIT1002,6,False
eggnog:46AQ3@72275,D-Ala-D-Ala carboxypeptidase family metallohydrolase,protein/peptide,A: degradative + exported,6,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3,6,False
eggnog:46DB3@72275,zinc-dependent metalloprotease,protein/peptide,A: degradative + exported,6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:1R23V@1224,aspartyl protease family protein,protein/peptide,A: degradative + exported,5,AD45;ATCC27126;BGP6;BS11;EZ55,5,False
eggnog:1R8MB@1224,S41 family peptidase,protein/peptide,A: degradative + exported,5,AD45;ATCC27126;EZ55;HOT1A3;MIT1002,6,False
eggnog:46618@72275,Xaa-Pro dipeptidase,protein/peptide,A: degradative + exported,5,ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,5,False
eggnog:4668G@72275,"L,D-transpeptidase family protein",protein/peptide,A: degradative + exported,5,ATCC27126;BGP6;BS11;EZ55;HOT1A3,5,False
eggnog:1MU1K@1224,M3 family metallopeptidase,protein/peptide,A: degradative + exported,4,AD45;ATCC27126;BGP6;EZ55,4,False
eggnog:1MW20@1224,M20/M25/M40 family metallo-hydrolase,protein/peptide,A: degradative + exported,4,ATCC27126;BGP6;EZ55;HOT1A3,4,False
eggnog:1R9AH@1224,pepsin-like aspartic protease,protein/peptide,"B: degradative, export uncertain",4,AD45;BS11;EZ55;HOT1A3,4,False
