gene_category,n_genes,pct
Translation,27,39.1
Inorganic ion transport,7,10.1
Unknown,7,10.1
Coenzyme metabolism,5,7.2
Energy production,5,7.2
Nucleotide metabolism,4,5.8
Cell wall and membrane,4,5.8
Amino acid metabolism,4,5.8
Post-translational modification,2,2.9
Lipid metabolism,2,2.9
Replication and repair,1,1.4
Cell cycle and division,1,1.4
